Include/exclude,Reason,,,,,ORN,VN,DB,TI,OT,SO,AU,PB,PT,FTURL,XL,,Include/exclude,Reason,Include/exclude,Reason
0,In rats,,,,,39,Ovid Technologies,Embase,Chronic Exposure to Methamphetamine Disrupts Reinforcement-Based Decision Making in Rats.,,"Neuropsychopharmacology. 43 (4) (pp 770-780), 2018. Date of Publication: 01 Mar 2018.","Groman S.M.

Rich K.M.

Smith N.J.

Lee D.

Taylor J.R.","Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,40,Ovid Technologies,Embase,Understanding psychiatric disorder by capturing ecologically relevant features of learning and decision-making.,,"Behavioural Brain Research. 355 (pp 56-75), 2018. Date of Publication: 14 December 2018.","Scholl J.

Klein-Flugge M.",Elsevier B.V.,Review,Click here for full text options,SFX,,,,,
0,Review paper,,,,,41,Ovid Technologies,Embase,Behavioral and neurobiological mechanisms of punishment: Implications for psychiatric disorders.,,"Neuropsychopharmacology. 43 (8) (pp 1639-1650), 2018. Date of Publication: 01 Jul 2018.","Jean-Richard-Dit-Bressel P.

Killcross S.

McNally G.P.","Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Review,Click here for full text options,SFX,,,,,
0,In mice,,,,,42,Ovid Technologies,Embase,Mice with reduced DAT levels recreate seasonal-induced switching between states in bipolar disorder.,,"Neuropsychopharmacology. 43 (8) (pp 1721-1731), 2018. Date of Publication: 01 Jul 2018.","Young J.W.

Cope Z.A.

Romoli B.

Schrurs E.

Joosen A.

Van Enkhuizen J.

Sharp R.F.

Dulcis D.","Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,43,Ovid Technologies,Embase,Suicidal thoughts and behaviors are associated with an increased decision-making bias for active responses to escape aversive states.,,"Journal of Abnormal Psychology. 128 (2) (pp 106-118), 2019. Date of Publication: Februaryy 2019.","Millner A.J.

Den Ouden H.E.M.

Gershman S.J.

Glenn C.R.

Kearns J.C.

Bornstein A.M.

Marx B.P.

Keane T.M.

Nock M.K.",American Psychological Association Inc. (E-mail: journals@apa.org),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,44,Ovid Technologies,Embase,Incentives Boost Model-Based Control Across a Range of Severity on Several Psychiatric Constructs.,,"Biological Psychiatry. 85 (5) (pp 425-433), 2019. Date of Publication: 1 March 2019.","Patzelt E.H.

Kool W.

Millner A.J.

Gershman S.J.",Elsevier USA,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,45,Ovid Technologies,Embase,Impaired reward prediction error encoding and striatal-midbrain connectivity in depression.,,"Neuropsychopharmacology. 43 (7) (pp 1581-1588), 2018. Date of Publication: 01 Jun 2018.",create date:2007/08/22 | first author:Cohen MX,"Nature Publishing Group (Houndmills, Basingstoke, Hampshire RG21 6XS, United Kingdom)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,46,Ovid Technologies,Embase,A common neural network differentially mediates direct and social fear learning.,,"NeuroImage. 167 (pp 121-129), 2018. Date of Publication: 15 Feb 2018.","Lindstrom B.

Haaker J.

Olsson A.",Academic Press Inc. (E-mail: apjcs@harcourt.com),Article,Click here for full text options,SFX,,,,,
DUPLICATION PUBMED,,,,,,47,Ovid Technologies,Embase,Unified neural structured model: A new diagnostic tool in primary care psychiatry.,,"Medical Hypotheses. 118 (pp 107-113), 2018. Date of Publication: September 2018.",Akaishi T.,Churchill Livingstone,Article,Click here for full text options,SFX,,,,,
1,,,,,,48,Ovid Technologies,Embase,Associability-modulated loss learning is increased in posttraumatic stress disorder.,,"eLife. 7 (no pagination), 2018. Article Number: e30150. Date of Publication: 09 Jan 2018.","Brown V.M.

Zhu L.

Wang J.M.

Frueh B.C.

King-Casas B.

Chiu P.H.",eLife Sciences Publications Ltd (E-mail: staff@elifesciences.org),Article,Click here for full text options,SFX,,1,,1,
DUPLICATION WOS,,,,,,49,Ovid Technologies,Embase,The avian basal ganglia are a source of rapid behavioral variation that enables vocal motor exploration.,,"Journal of Neuroscience. 38 (45) (pp 9635-9647), 2018. Date of Publication: 07 Nov 2018.","Kojima S.

Kao M.H.

Doupe A.J.

Brainard M.S.",Society for Neuroscience,Article,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,50,Ovid Technologies,Embase,Behavioral addictions: Challenges of the construct and challenges in treatment.,,"American Journal on Addictions. Conference: 28th Annual Meeting and Symposium of the American Academy of Addiction Psychiatry, AAAP 2017. United States. 27 (4) (pp 268-269), 2018. Date of Publication: 2018.","Atkinson D.

Parhami I.

Deister D.

Hammond C.

Ignaszewski M.",Wiley Blackwell,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,51,Ovid Technologies,Embase,The computational basis of threat-related attentional bias.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S240), 2018. Date of Publication: May 2018.","Wise T.

Michely J.

Dayan P.

Dolan R.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,52,Ovid Technologies,Embase,A computational approach to understanding motivational symptoms in depression.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S19-S20), 2018. Date of Publication: May 2018.","Roiser J.

Valton V.

Payne M.

Mkrtchian A.

Pilling S.

Dayan P.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,53,Ovid Technologies,Embase,Characterising algorithms for threat learning.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S19), 2018. Date of Publication: May 2018.",Bach D.,Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,54,Ovid Technologies,Embase,The interaction between mood and value.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S18-S19), 2018. Date of Publication: May 2018.","Bennett D.

Niv Y.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,55,Ovid Technologies,Embase,Major depressive disorder is associated with blunted learning signals in medial prefrontal cortex putamen when seeking monetary reward.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S101-S102), 2018. Date of Publication: May 2018.","Reinen J.

Whitton A.

Pizzagalli D.

Silfstein M.

Abi-Dargham A.

McGrath P.

Iosifescu D.V.

Schneier F.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,56,Ovid Technologies,Embase,Time scales of encoding the reward prediction error in youth: Representation of past events.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S164), 2018. Date of Publication: May 2018.","Keren H.

Fox N.

Leibenluft E.

Pine D.S.

Stringaris A.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,57,Ovid Technologies,Embase,Aversive value generalization during human avoidance learning predicts anxiety.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S244-S245), 2018. Date of Publication: May 2018.","Norbury A.

Robbins T.W.

Seymour B.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
0,Conference abstract,,,,,58,Ovid Technologies,Embase,Decision process abnormalities in suicide: From psychological theories to neural mechanisms.,,"Biological Psychiatry. Conference: 73rd Annual Scientific Convention and Meeting of the Society of Biological Psychiatry, SOBP 2018. United States. 83 (9 Supplement 1) (pp S22), 2018. Date of Publication: May 2018.","Dombrovski A.

Brown V.

Szanto K.",Elsevier USA,Conference Abstract,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,59,Ovid Technologies,Embase,Stress attenuates the flexible updating of aversive value.,,"Proceedings of the National Academy of Sciences of the United States of America. 114 (42) (pp 11241-11246), 2017. Date of Publication: 17 Oct 2017.","Raio C.M.

Hartley C.A.

Orederu T.A.

Li J.

Phelps E.A.",National Academy of Sciences,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,60,Ovid Technologies,Embase,Modeling Avoidance in Mood and Anxiety Disorders Using Reinforcement Learning.,,"Biological Psychiatry. 82 (7) (pp 532-539), 2017. Date of Publication: 1 October 2017.","Mkrtchian A.

Aylward J.

Dayan P.

Roiser J.P.

Robinson O.J.",Elsevier USA,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,61,Ovid Technologies,Embase,Computational Dysfunctions in Anxiety: Failure to Differentiate Signal From Noise.,,"Biological Psychiatry. 82 (6) (pp 440-446), 2017. Date of Publication: 15 September 2017.","Huang H.

Thompson W.

Paulus M.P.",Elsevier USA,Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,62,Ovid Technologies,Embase,Disrupted avoidance learning in functional neurological disorder: Implications for harm avoidance theories.,,"NeuroImage: Clinical. 16 (pp 286-294), 2017. Date of Publication: 2017.","Morris L.S.

To B.

Baek K.

Chang-Webb Y.-C.

Mitchell S.

Strelchuk D.

Mikheenko Y.

Phillips W.

Zandi M.

Jenaway A.

Walsh C.

Voon V.",Elsevier Inc. (E-mail: usjcs@elsevier.com),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,63,Ovid Technologies,Embase,"Reward Processing, Neuroeconomics, and Psychopathology.",,"Annual Review of Clinical Psychology. 13 (pp 471-495), 2017. Date of Publication: 08 May 2017.","Zald D.H.

Treadway M.T.","Annual Reviews Inc. (4139 El Camino Way, P.O. Box 10139, Palo Alto CA 94306, United States)",Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,64,Ovid Technologies,Embase,Spared internal but impaired external reward prediction error signals in major depressive disorder during reinforcement learning.,,"Depression and Anxiety. 34 (1) (pp 89-96), 2017. Date of Publication: 01 Jan 2017.","Bakic J.

Pourtois G.

Jepma M.

Duprat R.

De Raedt R.

Baeken C.",Blackwell Publishing Inc. (E-mail: subscrip@blackwellpub.com),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,65,Ovid Technologies,Embase,Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder.,,"Brain. 140 (4) (pp 1147-1157), 2017. Date of Publication: 01 Apr 2017.","Rothkirch M.

Tonn J.

Kohler S.

Sterzer P.",Oxford University Press (E-mail: jnl.info@oup.co.uk),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS + PUBMED,,,,,,66,Ovid Technologies,Embase,Association of neural and emotional impacts of reward prediction errors with major depression.,,"JAMA Psychiatry. 74 (8) (pp 790-797), 2017. Date of Publication: August 2017.","Rutledge R.B.

Moutoussis M.

Smittenaar P.

Zeidman P.

Taylor T.

Hrynkiewicz L.

Lam J.

Skandali N.

Siegel J.Z.

Ousdal O.T.

Prabhu G.

Dayan P.

Fonagy P.

Dolan R.J.",American Medical Association (E-mail: smcleod@itsa.ucsf.edu),Article,Click here for full text options,SFX,,,,,
DUPLICATION WOS,,,,,,67,Ovid Technologies,Embase,Computational psychiatry and the challenge of schizophrenia.,,"Schizophrenia Bulletin. 43 (3) (pp 473-475), 2017. Date of Publication: 2017.","Krystal J.H.

Murray J.D.

Chekroud A.M.

Corlett P.R.

Yang G.

Wang X.-J.

Anticevic A.",Oxford University Press (E-mail: jnl.info@oup.co.uk),Review,Click here for full text options,SFX,,,,,
