Include.exclude,Full text screened,Reason,Publication.Type,Authors_wos,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,Article.Title,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,Abstract,Addresses,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year_wos,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Research.Areas,IDS.Number,UT..Unique.WOS.ID.,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,X,�..PMID,Authors_pubmed,Citation,First.Author,Journal.Book,Publication.Year_pubmed,Create.Date,PMCID,NIHMS.ID,ORN,VN,DB,SO,AU,PB,PT,FTURL,XL,OT,�..Cites,Authors,Year,Source,Publishergscholar,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOIgscholar,ISSNgscholar,CitationURL,Volumegscholar,Issuegscholar,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstractgscholar
0,1,No clinical group,NA,NA,NA,NA,NA,NA,NA,NA,Learning to Overexert Cognitive Control in a Stroop Task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3758/s13415-020-00845-x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33409959,"Bustamante L, Lieder F, Musslick S, Shenhav A, Cohen J.",Cogn Affect Behav Neurosci. 2021 Jan 6. doi: 10.3758/s13415-020-00845-x. Online ahead of print.,Bustamante L,Cogn Affect Behav Neurosci,2021,07/01/2021,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Review paper,NA,NA,NA,NA,NA,NA,NA,NA,Applying Reinforcement Learning to Rodent Stress Research,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1177/2470547020984732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33598593,"Liao C, Kwan AC.",Chronic Stress (Thousand Oaks). 2021 Feb 1;5:2470547020984732. doi: 10.1177/2470547020984732. eCollection 2021 Jan-Dec.,Liao C,Chronic Stress (Thousand Oaks),2021,18/02/2021,PMC7863143,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"C Liao, AC Kwan",2021,Chronic Stress,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/2470547020984732,,132,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,1,"… Copy to clipboard. Format, Tips on citation download. Download Citation. Download article citation data for: Applying Reinforcement Learning to Rodent Stress Research. Clara Liao and Alex C. Kwan. Chronic Stress 2021 10.1177/2470547020984732. Download Citation …"
0,0,Mobile connection,NA,NA,NA,NA,NA,NA,NA,NA,D2D Mobile Relaying Meets NOMA -Part I:A Biform Game Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3390/s21030702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33498586,"Driouech S, Sabir E, Ghogho M, Amhoud EM.",Sensors (Basel). 2021 Jan 20;21(3):702. doi: 10.3390/s21030702.,Driouech S,Sensors (Basel),2021,27/01/2021,PMC7864343,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,Conference abstract,NA,NA,NA,NA,NA,NA,NA,NA,Translational eeg and behavioral measures of cognitive flexibility in a cross-species (human/rat) probabilistic reversal learning task.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Ovid Technologies,Embase,"Neuropsychopharmacology. Conference: 59th Annual Meeting of the American College of Neuropsychopharmacology, ACNP 2020. 45 (pp 166), 2020. Date of Publication: December 2020.","Der-Avakian A.

Schroder H.

Barnes S.

Mukamel E.

Breiger M.

Nickels S.

Dillon D.

Leutgeb S.

Risbrough V.

Pizzagalli D.",Springer Nature,Conference Abstract,Click here for full text options,SFX,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPEAT ABOVE,,,NA,NA,NA,NA,NA,NA,NA,NA,Neural Computations of Threat.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Ovid Technologies,Embase,"Trends in Cognitive Sciences. 25 (2) (pp 151-171), 2021. Date of Publication: February 2021.","Levy I.

Schiller D.",Elsevier Ltd,Review,Click here for full text options,SFX,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPEAT ABOVE,,,NA,NA,NA,NA,NA,NA,NA,NA,Commentary: Altered learning under uncertainty in unmedicated mood and anxiety disorders.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Ovid Technologies,Embase,"Frontiers in Human Neuroscience. 14 (no pagination), 2020. Article Number: 561770. Date of Publication: 13 Nov 2020.","Sumiya M.

Katahira K.",Frontiers Media S.A.,Article,Click here for full text options,SFX,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Review paper,NA,NA,NA,NA,NA,NA,NA,NA,Demystifying artificial intelligence in pharmacy.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,Ovid Technologies,Embase,"American Journal of Health-System Pharmacy. 77 (19) (pp 1556-1570), 2020. Date of Publication: 18 Sep 2020.","Nelson S.D.

Walsh C.G.

Olsen C.A.

McLaughlin A.J.

LeGrand J.R.

Schutz N.

Lasko T.A.",Oxford University Press,Article,Click here for full text options,SFX,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REPEAT previous,,No clinical group - pharma manipulation,NA,NA,NA,NA,NA,NA,NA,NA,Single dose of a dopamine agonist impairs reinforcement learning in humans: Evidence from event‐related potentials and computational modeling of striatal‐cortical …,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,"DL Santesso, AE Evins, MJ Frank…",2009,Human brain …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20642,"https://scholar.google.com/scholar?cites=1951692299732933876&as_sdt=2005&sciodt=0,5&hl=en",39,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,127,10.58,32,4,12,… of a D2/D3 agonist (pramipexole) to healthy subjects blunted reinforcement learning during a … 1996] and the trait form of the Spielberger State‐Trait Anxiety Inventory [Spielberger … Because the computational model does not simulate the perceptual/object recognition system and …
REPEAT Previous,,,NA,NA,NA,NA,NA,NA,NA,NA,"An extended reinforcement learning model of basal ganglia to understand the contributions of serotonin and dopamine in risk-based decision making, reward …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,"PP Balasubramani, VS Chakravarthy…",2014,… in computational …,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fncom.2014.00047/full,"https://scholar.google.com/scholar?cites=4775471399522454598&as_sdt=2005&sciodt=0,5&hl=en",58,23/02/2021 14:50,HTML,NA,NA,NA,NA,NA,NA,NA,38,5.43,13,3,7,… of mesencephalic DA neurons are found to closely resemble temporal difference error (TD) in Reinforcement Learning (RL) (Schultz … There is no single computational theory that integrates and reconciles the existing computational perspectives of 5HT function … Our Model in Brief …
0,1,Simulations,NA,NA,NA,NA,NA,NA,NA,NA,Opponent actor learning (OpAL): modeling interactive effects of striatal dopamine on reinforcement learning and choice incentive.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,"AGE Collins, MJ Frank",2014,Psychological review,psycnet.apa.org,https://psycnet.apa.org/record/2014-31650-003,"https://scholar.google.com/scholar?cites=15021302925332102351&as_sdt=2005&sciodt=0,5&hl=en",65,23/02/2021 14:50,,NA,NA,NA,NA,NA,NA,NA,220,31.43,110,2,7,"… This implementation contrasts with previous attempts to model asymmetric learning via separate … Although this rule is often linked to reinforcement learning models, those typically do not … than actor weights within a unitary system, potentially affords computational advantages in …"
