Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
1,"KM Spiegler, J Palmieri, KCH Pang…","A reinforcement-learning model of active avoidance behavior: Differences between Sprague Dawley and Wistar-Kyoto rats",2020,"Behavioural Brain …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0166432820304836?casa_token=kRT5rH-cSS8AAAAA:Ng48P0PPOnzfon3iZZ8X44pkfqfVVMFkWKX3O0LE3aohY14qSedux-KIM41f4dx728UyArtiig","https://scholar.google.com/scholar?cites=4005791956615096415&as_sdt=2005&sciodt=0,5&hl=en",13,"2021-02-23 14:50:47","HTML","","","",,,,,1,1.00,0,4,1,"… Computational modeling techniques can help identify factors that may not be easily decipherable from behavioral data alone. Here, we utilize a reinforcement learning (RL) model approach to better understand strain differences in avoidance behavior …"
60,"JF Cavanagh, A Bismark, MJ Frank…","Larger error signals in major depression are associated with better avoidance learning",2011,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpsyg.2011.00331/full","https://scholar.google.com/scholar?cites=17015866812014466703&as_sdt=2005&sciodt=0,5&hl=en",14,"2021-02-23 14:50:47","HTML","","","",,,,,60,6.00,15,4,10,"… previously detailed how emotional reactivity to social stress can instantiate a reinforcement learning bias in … Notably the mood-related effect reported here was specific to these lose–lose cases … A neural network model of cortico-striatal function in this same task suggests that a …"
3,"J Collenette, K Atkinson, D Bloembergen…","Mood modelling within reinforcement learning",2017,"Artificial Life Conference …","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/isal_a_021","https://scholar.google.com/scholar?cites=11562767374151119345&as_sdt=2005&sciodt=0,5&hl=en",15,"2021-02-23 14:50:47","","","","",,,,,3,0.75,1,4,4,"… learning. We make use of reinforcement learning techniques to show that using a human-inspired computational model of mood al- lows self-interested agents to develop cooperation with other agents over time. In particular …"
147,"E Eldar, RB Rutledge, RJ Dolan, Y Niv","Mood as representation of momentum",2016,"Trends in cognitive sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364661315001746","https://scholar.google.com/scholar?cites=2056352134745244046&as_sdt=2005&sciodt=0,5&hl=en",16,"2021-02-23 14:50:47","HTML","","","",,,,,147,29.40,37,4,5,"… More recently, researchers have used computational methods in laboratory experiments to precisely … for a particular environment can be determined by creating a probabilistic model of the … reward expected in each state similarly to a standard reinforcement learning algorithm [79 …"
10,"N Rouhani, Y Niv","Depressive symptoms bias the prediction-error enhancement of memory towards negative events in reinforcement learning",2019,"Psychopharmacology","Springer","https://link.springer.com/article/10.1007/s00213-019-05322-z","https://scholar.google.com/scholar?cites=10808927599117111437&as_sdt=2005&sciodt=0,5&hl=en",17,"2021-02-23 14:50:47","","","","",,,,,10,5.00,5,2,2,"… In three experiments, we tested how reward prediction errors experienced during reinforcement learning interact with episodic memory … depression was a significant predictor, to confirm group differences, we ran a simplified regression model (not including depression as an …"
12,"J Stockholm, P Pasquier","Reinforcement learning of listener response for mood classification of audio",2009,"… Conference on Computational …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5283188/?casa_token=rWzW1sjSJgMAAAAA:a9ww4AuJNnHMGtk9qMqzdS4wqkZ1Mgo3liloQ_Tm5Kz9t-AgRNcfSgZ2csZtRC-dQpK1jr1Z","https://scholar.google.com/scholar?cites=8051492477030502312&as_sdt=2005&sciodt=0,5&hl=en",18,"2021-02-23 14:50:47","","","","",,,,,12,1.00,6,2,12,"This paper describes a method of applying a reinforcement learning artificial intelligence to categorize audio files by mood based on listener response during a performance. The system discussed is implemented in a performance art environment designed to present the …"
5,"AL Frey, MJ Frank, C McCabe","Social reinforcement learning as a predictor of real-life experiences in individuals with high and low depressive symptomatology",2019,"Psychological medicine","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/social-reinforcement-learning-as-a-predictor-of-reallife-experiences-in-individuals-with-high-and-low-depressive-symptomatology/0F25997C1E0CC5556F6A25969FC28975","https://scholar.google.com/scholar?cites=4902732568749783014&as_sdt=2005&sciodt=0,5&hl=en",19,"2021-02-23 14:50:47","","","","",,,,,5,2.50,2,3,2,"… The written permission of Cambridge University Press must be obtained for commercial re-use. Social reinforcement learning as a predictor of real-life experiences in individuals with high … Computational modeling For the social condition, the best-fitting model for both groups …"
133,"R Admon, DA Pizzagalli","Dysfunctional reward processing in depression",2015,"Current Opinion in Psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352250X14000220?casa_token=hGJwJB4ei6UAAAAA:Szr_Qc68o1mV_qEZ3OS4lZJCmvkV_kF-t7APcJzCwifsZPjeWiViid1yh7bXPfNA-RIKDgh60A","https://scholar.google.com/scholar?cites=903791774285429429&as_sdt=2005&sciodt=0,5&hl=en",20,"2021-02-23 14:50:47","HTML","","","",,,,,133,22.17,67,2,6,"… 7 QJ Huys, DA Pizzagalli, R. Bogdan, P. DayanMapping anhedonia onto reinforcement learning: a behavioural meta-analysis. Biol Mood Anxiety Disord, 3 … DH ZaldEffort-based decision-making in major depressive disorder: a translational model of motivational …"
301,"JA Waltz, MJ Frank, BM Robinson, JM Gold","Selective reinforcement learning deficits in schizophrenia support predictions from computational models of striatal-cortical dysfunction",2007,"Biological psychiatry","Elsevier","https://www.sciencedirect.com/science/article/pii/S000632230601239X?casa_token=_fusIrb9Yh8AAAAA:ynfeLQ-bBGYd8kpC8sHvKwKDcgw6KFGVN6Uo5NVtbj6VPuRuEftevZCs_nq4pgM6I3FUmzVTHA","https://scholar.google.com/scholar?cites=11723680825512478102&as_sdt=2005&sciodt=0,5&hl=en",21,"2021-02-23 14:50:47","HTML","","","",,,,,301,21.50,75,4,14,"… Advanced. Elsevier. Biological Psychiatry. Volume 62, Issue 7, 1 October 2007, Pages 756-764. Biological Psychiatry. Original Article. Selective Reinforcement Learning Deficits in Schizophrenia Support Predictions from Computational Models of Striatal-Cortical Dysfunction …"
141,"K Doya","Reinforcement learning: Computational theory and biological mechanisms",2007,"HFSP journal","Taylor & Francis","https://www.tandfonline.com/doi/pdf/10.2976/1.2732246/10.2976/1","https://scholar.google.com/scholar?cites=7299230228197518441&as_sdt=2005&sciodt=0,5&hl=en",22,"2021-02-23 14:50:47","","","","",,,,,141,10.07,141,1,14,"… be a good parallel between the neurobiological processes in the brain and the computational steps of … Reactive reinforcement or predictive planning In the basic form of reinforcement learning, the agent … state transition rule, P(new statestate, action), as an internal model is useful …"
341,"D Lee, H Seo, MW Jung","Neural basis of reinforcement learning and decision making",2012,"Annual review of neuroscience","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-neuro-062111-150512?casa_token=TKIwn199ciMAAAAA:wWpVORhoDu1uPqGPm8h92RmERxOKWFvNIh70pr9lb9DwK4zBmXSeXg9iGge08jp_83e2KFoohTIl","https://scholar.google.com/scholar?cites=12908683535992741961&as_sdt=2005&sciodt=0,5&hl=en",23,"2021-02-23 14:50:47","","","","",,,,,341,37.89,114,3,9,"… Future studies should uncover the principles by which different computational elements of reinforcement … 2011), we briefly summarize only the essential elements of reinforcement learning theory and … Finally, how is model-based reinforcement learning implemented in the brain …"
504,"K Doya, K Samejima, K Katagiri, M Kawato","Multiple model-based reinforcement learning",2002,"Neural computation","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/089976602753712972?casa_token=jGcHvBezZ6UAAAAA:uVj69y0ZGtPKTlfnszRQ7O0ltMyZx47dMkpI2etA51X7W9EB-ZowE6TxxaMPKE2JSeyjey31T573","https://scholar.google.com/scholar?cites=17294833705705749571&as_sdt=2005&sciodt=0,5&hl=en",24,"2021-02-23 14:50:47","","","","",,,,,504,26.53,126,4,19,"Page 1. LETTER Communicated by Andrew Barto Multiple Model-Based Reinforcement Learning … It was recently Page 3. Multiple Model-Based Reinforcement Learning 1349 Figure 1: Schematic diagram of the MMRL architecture …"
57,"M Rothkirch, J Tonn, S Köhler, P Sterzer","Neural mechanisms of reinforcement learning in unmedicated patients with major depressive disorder",2017,"Brain","academic.oup.com","https://academic.oup.com/brain/article-abstract/140/4/1147/3038009","https://scholar.google.com/scholar?cites=12645802402271498993&as_sdt=2005&sciodt=0,5&hl=en",25,"2021-02-23 14:50:47","","","","",,,,,57,14.25,14,4,4,"… According to current concepts, major depressive disorder is strongly related to dysfunctional neural processing of motivational information, entailing impairments in reinforcement learning. While computational modelling can reveal the precise nature of neural learning signals, it …"
78,"Z Wan, H Li, H He, D Prokhorov","Model-free real-time EV charging scheduling based on deep reinforcement learning",2018,"IEEE Transactions on Smart …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8521585/?casa_token=ew22dYk0e8QAAAAA:_ZgG8hvExUREpodqT-T8m-1ToSKzNlsGTI8yjngvAcF4rOVMkXlQ2FJHdYa0Ld1YuTNJGsVf","https://scholar.google.com/scholar?cites=5488989481666026659&as_sdt=2005&sciodt=0,5&hl=en",26,"2021-02-23 14:50:47","","","","",,,,,78,26.00,20,4,3,"… of the model-free approach is that it can learn a good control policy based on reinforcement learning (RL) and … To solve this problem, a model-free approach is proposed to learn the state transition from real system data as … (Emax − Et) 2 measures user's “range anxiety” which is …"
16,"AY Dombrovski, MN Hallquist, VM Brown, J Wilson…","Value-based choice, contingency learning, and suicidal behavior in mid-and late-life depression",2019,"Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006322318319395?casa_token=4NXrrxGWTxUAAAAA:Vht7WEWtoqQFm1SYA2n1z5GAtfAmuQEA0TItQVRbD3OOvosuMNXqEHoSs5MrcEQjinpg-afCzA","https://scholar.google.com/scholar?cites=12926541006169770858&as_sdt=2005&sciodt=0,5&hl=en",27,"2021-02-23 14:50:47","HTML","","","",,,,,16,8.00,3,5,2,"… Analyses combined computational reinforcement learning and mixed-effects models of decision times and choices … The goal of reinforcement learning is to estimate the values of available options from … Next, we verified that results were robust to model fit or fitting procedure …"
9,"L Romaniuk, AL Sandu, GD Waiter, CJ McNeil…","The neurobiology of personal control during reward learning and its relationship to mood",2019,"Biological Psychiatry …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2451902218302544","https://scholar.google.com/scholar?cites=4059678128202976720&as_sdt=2005&sciodt=0,5&hl=en",28,"2021-02-23 14:50:47","HTML","","","",,,,,9,4.50,2,5,2,"… In our adaptation, they had different contingencies to permit modeling of reinforcement learning: the yellow card was associated with an 80% chance of a 100-point reward, and the blue card … The Pavlovian reward learning model attempted use a computational framework to …"
644,"DA Pizzagalli","Depression, stress, and anhedonia: toward a synthesis and integrated model",2014,"Annual review of clinical psychology","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-clinpsy-050212-185606?casa_token=FxOIUxf3xqQAAAAA:4_hyNxd8ouA-wNrD7CZG4FDIvmxL8kdGBOyeprIVbtIMsabKfxwBWp9OyK0xNg1JRE3vqCA7k4Jq","https://scholar.google.com/scholar?cites=10765720111379516305&as_sdt=2005&sciodt=0,5&hl=en",29,"2021-02-23 14:50:47","","","","",,,,,644,92.00,644,1,7,"… of these four literatures, present initial evidence consistent with our model, and discuss … is restricted to studies using laboratory-based measures of hedonic behavior and reinforcement learning … the future relative to both healthy controls and individuals with anxiety disorders (eg …"
520,"P Dayan, Y Niv","Reinforcement learning: the good, the bad and the ugly",2008,"Current opinion in neurobiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959438808000767?casa_token=y5NJnE87bQQAAAAA:b1SxtS3DjpPryTnLU-X_G_7yRIBgriViwD-iQwC-k51tE95zh60waneLqj-dTB0mdoShBfByNQ","https://scholar.google.com/scholar?cites=7203688626938870712&as_sdt=2005&sciodt=0,5&hl=en",30,"2021-02-23 14:50:47","HTML","","","",,,,,520,40.00,260,2,13,""
546,"Y Niv","Reinforcement learning in the brain",2009,"Journal of Mathematical Psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022249608001181?casa_token=X1Z4wU_9f2QAAAAA:dDzji2tTumJGr4skM7XpWlQFyUYT3u-F0C3eUE19EgKo3IH5W29SeaAjzGokbfg5Js_3JAgQTQ","https://scholar.google.com/scholar?cites=41899858911265441&as_sdt=2005&sciodt=0,5&hl=en",31,"2021-02-23 14:50:47","HTML","","","",,,,,546,45.50,546,1,12,"… In recent years computational accounts of these two classes of conditioned behavior have drawn heavily from the framework of reinforcement learning (RL) in … decisions, or suggest that animals are, in fact, optimizing something other than what the model has assumed …"
234,"SJ Gershman, ND Daw","Reinforcement learning and episodic memory in humans and animals: an integrative framework",2017,"Annual review of psychology","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-psych-122414-033625?casa_token=0FGiS8-5BtgAAAAA:4MNaHZS4rMPzpq8mq4IOnuT4vTxLrChqvxubQChgM0B-uLKsOdQVnMUE0X5eqCadLqcqNsx7ylJg","https://scholar.google.com/scholar?cites=1182011771703196243&as_sdt=2005&sciodt=0,5&hl=en",32,"2021-02-23 14:50:47","","","","",,,,,234,58.50,117,2,4,"… earlier ideas. REINFORCEMENT LEARNING: THE CURRENT PICTURE. We … action. However, these computational savings come at the cost of inflexibility and less-efficient learning. Model-Free Learning in the Brain. The initial …"
315,"S Grossberg, JWL Merrill","A neural network model of adaptively timed reinforcement learning and hippocampal dynamics",1992,"Cognitive brain research","Elsevier","https://www.sciencedirect.com/science/article/pii/092664109290003A?casa_token=rPk5WGcAgiYAAAAA:WUn4QMXR3F0CCAEbRpM9Ow3zVSr6WsLE8onVur-qEbXgqwkkj58tJ4J-HRg-SsjAAR997_Euvg","https://scholar.google.com/scholar?cites=4694390324442023021&as_sdt=2005&sciodt=0,5&hl=en",33,"2021-02-23 14:50:47","HTML","","","",,,,,315,10.86,158,2,29,""
82,"RB Rutledge, M Moutoussis, P Smittenaar…","Association of neural and emotional impacts of reward prediction errors with major depression",2017,"JAMA …","jamanetwork.com","https://jamanetwork.com/journals/jamapsychiatry/article-abstract/2635343","https://scholar.google.com/scholar?cites=14461827328587116195&as_sdt=2005&sciodt=0,5&hl=en",34,"2021-02-23 14:50:47","","","","",,,,,82,20.50,21,4,4,"… Brain. 2011;134(pt 6):1751-1764.PubMedGoogle ScholarCrossref. 17. Huys QJ, Pizzagalli DA, Bogdan R, Dayan P. Mapping anhedonia onto reinforcement learning: a behavioural meta-analysis … A computational and neural model of momentary subjective well-being …"
367,"T Schönberg, ND Daw, D Joel…","Reinforcement learning signals in the human striatum distinguish learners from nonlearners during reward-based decision making",2007,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/27/47/12860.short","https://scholar.google.com/scholar?cites=6234066321263179894&as_sdt=2005&sciodt=0,5&hl=en",35,"2021-02-23 14:50:47","","","","",,,,,367,26.21,92,4,14,""
92,"A Johnson, AD Redish","Hippocampal replay contributes to within session learning in a temporal difference reinforcement learning model",2005,"Neural Networks","Elsevier","https://www.sciencedirect.com/science/article/pii/S0893608005001991?casa_token=5XmGFArwH80AAAAA:b4v5KRHFAi8OSNNqOA85wfP6NTEJRrQvzG_n37w5HZmR7g_lj7ov6qvzw0U8n5KtaoUzc8EXvQ","https://scholar.google.com/scholar?cites=372454890188181589&as_sdt=2005&sciodt=0,5&hl=en",36,"2021-02-23 14:50:47","HTML","","","",,,,,92,5.75,46,2,16,"… Abstract. Temporal difference reinforcement learning (TDRL) algorithms, hypothesized to partially explain basal ganglia functionality, learn more slowly than real animals … We test the plausibility of this hypothesis in a computational model of a multiple-T choice-task …"
339,"RV Florian","Reinforcement learning through modulation of spike-timing-dependent synaptic plasticity",2007,"Neural computation","MIT Press","https://www.mitpressjournals.org/doi/abs/10.1162/neco.2007.19.6.1468?casa_token=riVULa32qRYAAAAA:tEHJdNlBGrWX5fTjjX02sS8KgIYDmZubzXx7oS9V8p3Yk8a9tnFxY4Nm8n5DjBxiq_uVUl3Smt1U","https://scholar.google.com/scholar?cites=1152776304255514105&as_sdt=2005&sciodt=0,5&hl=en",37,"2021-02-23 14:50:47","","","","",,,,,339,24.21,339,1,14,"… Theoretical studies have mostly focused on the computational properties of Hebbian STDP and have … equations 2.7, 2.14, 2.15, and 2.16, we finally get the reinforcement learning rule for … 2.2 A Neural Model for Bidirectional Associative Plasticity for Rein- forcement Learning …"
25,"B Seymour","Pain: a precision signal for reinforcement learning and control",2019,"Neuron","Elsevier","https://www.sciencedirect.com/science/article/pii/S0896627319300820","https://scholar.google.com/scholar?cites=5423332456450877131&as_sdt=2005&sciodt=0,5&hl=en",38,"2021-02-23 14:50:47","HTML","","","",,,,,25,12.50,25,1,2,"… from harm. Here, we illustrate that a reinforcement learning model of pain offers a mechanistic understanding of how the brain supports this, illustrating the underlying computational architecture of the pain system. Importantly, it …"
127,"DL Santesso, AE Evins, MJ Frank…","Single dose of a dopamine agonist impairs reinforcement learning in humans: Evidence from event‐related potentials and computational modeling of striatal‐cortical …",2009,"Human brain …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hbm.20642","https://scholar.google.com/scholar?cites=1951692299732933876&as_sdt=2005&sciodt=0,5&hl=en",39,"2021-02-23 14:50:47","","","","",,,,,127,10.58,32,4,12,"… of a D2/D3 agonist (pramipexole) to healthy subjects blunted reinforcement learning during a … 1996] and the trait form of the Spielberger State‐Trait Anxiety Inventory [Spielberger … Because the computational model does not simulate the perceptual/object recognition system and …"
222,"MA McDannald, F Lucantonio, KA Burke…","Ventral striatum and orbitofrontal cortex are both required for model-based, but not model-free, reinforcement learning",2011,"Journal of …","Soc Neuroscience","https://www.jneurosci.org/content/31/7/2700.short","https://scholar.google.com/scholar?cites=17601098312351237120&as_sdt=2005&sciodt=0,5&hl=en",40,"2021-02-23 14:50:47","","","","",,,,,222,22.20,56,4,10,"Skip to main content. Umbrella menu. SfN.org; eNeuro; The Journal of Neuroscience; Neuronline; BrainFacts.org. Main menu. HOME; CONTENT: Early Release; Featured; Current Issue; Issue Archive; Collections. ALERTS; FOR AUTHORS …"
191,"GP Strauss, MJ Frank, JA Waltz, Z Kasanova…","Deficits in positive reinforcement learning and uncertainty-driven exploration are associated with distinct aspects of negative symptoms in schizophrenia",2011,"Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006322310011066?casa_token=uQ9wCg3z-o0AAAAA:pDIytLNKvkGGN0YTLbmTSpRGEfKl-HvxWmia1XOqZJ2a_3eP4qBY1qBsP9N4e3IgQ2ixicsPww","https://scholar.google.com/scholar?cites=13715447525806739740&as_sdt=2005&sciodt=0,5&hl=en",41,"2021-02-23 14:50:47","HTML","","","",,,,,191,19.10,38,5,10,"… Previous article in issue; Next article in issue. Key Words. Computational model. dopamine. negative symptoms. reinforcement learning. reward. schizophrenia. Dopaminergic (DA) signaling plays a key role in the detection, evaluation, and prediction of rewards …"
70,"CMA Pennartz","Reinforcement learning by Hebbian synapses with adaptive thresholds",1997,"Neuroscience","Elsevier","https://www.sciencedirect.com/science/article/pii/S0306452297001188?casa_token=Lhk9VM-Gh-AAAAAA:gd3L2MxpGf5R4qk4w2rbl2rChAKB-D1TtOzLtHZo-eR_pT_Z19dOoyp3XqDjgry4HpemnEkDjw","https://scholar.google.com/scholar?cites=9111725270823606526&as_sdt=2005&sciodt=0,5&hl=en",42,"2021-02-23 14:50:47","HTML","","","",,,,,70,2.92,70,1,24,"… of synaptic connectivity in the network and thereby train it on a computational task … The model continued to behave well when simplified units were replaced by single … This novel form of reinforcement learning incorporates essential properties of Hebbian synaptic plasticity and …"
