Include.exclude,Full text screened,Reason,Publication.Type,Authors_wos,Book.Authors,Book.Editors,Book.Group.Authors,Author.Full.Names,Book.Author.Full.Names,Group.Authors,Article.Title,Source.Title,Book.Series.Title,Book.Series.Subtitle,Language,Document.Type,Conference.Title,Conference.Date,Conference.Location,Conference.Sponsor,Conference.Host,Author.Keywords,Keywords.Plus,Abstract,Addresses,Reprint.Addresses,Email.Addresses,Researcher.Ids,ORCIDs,Funding.Orgs,Funding.Text,Cited.References,Cited.Reference.Count,Times.Cited..WoS.Core,Times.Cited..All.Databases,X180.Day.Usage.Count,Since.2013.Usage.Count,Publisher,Publisher.City,Publisher.Address,ISSN,eISSN,ISBN,Journal.Abbreviation,Journal.ISO.Abbreviation,Publication.Date,Publication.Year_wos,Volume,Issue,Part.Number,Supplement,Special.Issue,Meeting.Abstract,Start.Page,End.Page,Article.Number,DOI,Book.DOI,Early.Access.Date,Number.of.Pages,WoS.Categories,Research.Areas,IDS.Number,UT..Unique.WOS.ID.,Pubmed.Id,Open.Access.Designations,Highly.Cited.Status,Hot.Paper.Status,Date.of.Export,X,PMID,Authors_pubmed,Citation,First.Author,Journal.Book,Publication.Year_pubmed,Create.Date,PMCID,NIHMS.ID,ORN,VN,DB,SO,AU,PB,PT,FTURL,XL,OT,Authors,Year,Source,Publishergscholar,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOIgscholar
0,0,Gambling disorder,J,"Wyckmans, F; Otto, AR; Sebold, M; Daw, N; Bechara, A; Saeremans, M; Kornreich, C; Chatard, A; Jaafari, N; Noel, X",NA,,,"Wyckmans, Florent; Otto, A. Ross; Sebold, Miriam; Daw, Nathaniel; Bechara, Antoine; Saeremans, Melanie; Kornreich, Charles; Chatard, Armand; Jaafari, Nemat; Noel, Xavier",NA,NA,Reduced model-based decision-making in gambling disorder,SCIENTIFIC REPORTS,,NA,NA,NA,,,,,,NA,NA,"Compulsive behaviors (e.g., addiction) can be viewed as an aberrant decision process where inflexible reactions automatically evoked by stimuli (habit) take control over decision making to the detriment of a more flexible (goal-oriented) behavioral learning system. These behaviors are thought to arise from learning algorithms known as model-based and model-free reinforcement learning. Gambling disorder, a form of addiction without the confound of neurotoxic effects of drugs, showed impaired goal-directed control but the way in which problem gamblers (PG) orchestrate model-based and model-free strategies has not been evaluated. Forty-nine PG and 33 healthy participants (CP) completed a two-step sequential choice task for which model-based and model-free learning have distinct and identifiable trial-by-trial learning signatures. The influence of common psychopathological comorbidities on those two forms of learning were investigated. PG showed impaired model-based learning, particularly after unrewarded outcomes. In addition, PG exhibited faster reaction times than CP following unrewarded decisions. Troubled mood, higher impulsivity (i.e., positive and negative urgency) and current and chronic stress reported via questionnaires did not account for those results. These findings demonstrate specific reinforcement learning and decision-making deficits in behavioral addiction that advances our understanding and may be important dimensions for designing effective interventions.",NA,NA,NA,,"WYCKMANS, FLORENT/0000-0002-4639-600X; Sebold, Miriam/0000-0002-6006-3201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045-2322,,,NA,NA,Dec-23,2019,9,,NA,,,,,,19625,10.1038/s41598-019-56161-z,,,NA,NA,NA,NA,WOS:000508896900016,31873133,NA,NA,NA,NA,NA,31873133,"Wyckmans F, Otto AR, Sebold M, Daw N, Bechara A, Saeremans M, Kornreich C, Chatard A, Jaafari N, Noël X.",Sci Rep. 2019 Dec 23;9(1):19625. doi: 10.1038/s41598-019-56161-z.,Wyckmans F,Sci Rep,2019,25/12/2019,PMC6927960,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Day program for children with disabilities,J,"Howells, K; Sivaratnam, C; May, T; Lindor, E; Rinehart, N",NA,,,"Howells, Katherine; Sivaratnam, Carmel; May, Tamara; Lindor, Ebony; Rinehart, Nicole",NA,NA,A Pilot Acceptability Study of an 'AllPlay Pre-Learn' Day Program to Facilitate Participation in Organised Physical Activity for Children with Disabilities,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,NA,NA,NA,,,,,,NA,NA,"In a mixed-methods design, the current study aimed to evaluate the acceptability of a junior Australian rules football program across two 'AllPlay Pre-Learn' days for children aged 5-11 years with disabilities, based on parent and child responses. Three online surveys were created by health professionals based on existing participation models. Surveys were completed by parents immediately before (n = 23), after the 'Pre-Learn' days (n = 15) and following the conclusion of the community version of the program (n = 13). Quantitative findings indicated significant improvements in child ratings around enjoyment of the sport. Qualitative analyses generated three themes around enjoyment in a low-stress environment; the education provided around the sport for parents/children; and, contemplation about playing the football program within their community. Four families (22% of the original attendees) went on to play the sport within a community setting. Despite acknowledged limitations, this study demonstrates preliminary evidence in support of an 'AllPlay Pre-Learn' day as a stepping stone to facilitate later participation in a football program within a child's community. Increased participation would allow children to experience the benefits associated with sport participation, such as motor and social skill development.",NA,NA,NA,"Lindor, Ebony/AAZ-9758-2020","May, Tamara/0000-0001-8705-4180; Howells, Katherine/0000-0002-4419-2134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1661-7827,1660-4601,,NA,NA,Dec-02,2019,16,24,NA,,,,,,5058,10.3390/ijerph16245058,,,NA,NA,NA,NA,WOS:000507312700175,31835865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In rats,J,"Zhukovsky, P; Puaud, M; Jupp, B; Sala-Bayo, J; Alsio, J; Xia, J; Searle, L; Morris, Z; Sabir, A; Giuliano, C; Everitt, BJ; Belin, D; Robbins, TW; Dalley, JW",NA,,,"Zhukovsky, Peter; Puaud, Mickael; Jupp, Bianca; Sala-Bayo, Julia; Alsio, Johan; Xia, Jing; Searle, Lydia; Morris, Zoe; Sabir, Aryan; Giuliano, Chiara; Everitt, Barry J.; Belin, David; Robbins, Trevor W.; Dalley, Jeffrey W.",NA,NA,Withdrawal from escalated cocaine self-administration impairs reversal learning by disrupting the effects of negative feedback on reward exploitation: a behavioral and computational analysis,NEUROPSYCHOPHARMACOLOGY,,NA,NA,NA,,,,,,NA,NA,"Addiction is regarded as a disorder of inflexible choice with behavior dominated by immediate positive rewards over longer-term negative outcomes. However, the psychological mechanisms underlying the effects of self-administered drugs on behavioral flexibility are not well understood. To investigate whether drug exposure causes asymmetric effects on positive and negative outcomes we used a reversal learning procedure to assess how reward contingencies are utilized to guide behavior in rats previously exposed to intravenous cocaine self-administration (SA). Twenty-four rats were screened for anxiety in an open field prior to acquisition of cocaine SA over six daily sessions with subsequent long-access cocaine SA for 7 days. Control rats (n = 24) were trained to lever-press for food under a yoked schedule of reinforcement. Higher rates of cocaine SA were predicted by increased anxiety and preceded impaired reversal learning, expressed by a decrease in lose-shift as opposed to win-stay probability. A model-free reinforcement learning algorithm revealed that rats with high, but not low cocaine escalation failed to exploit previous reward learning and were more likely to repeat the same response as the previous trial. Eight-day withdrawal from high cocaine escalation was associated, respectively, with increased and decreased dopamine receptor D2 (DRD2) and serotonin receptor 2C (HTR2C) expression in the ventral striatum compared with controls. Dopamine receptor D1 (DRD1) expression was also significantly reduced in the orbitofrontal cortex of high cocaine-escalating rats. These findings indicate that withdrawal from escalated cocaine SA disrupts how negative feedback is used to guide goal-directed behavior for natural reinforcers and that trait anxiety may be a latent variable underlying this interaction.",NA,NA,NA,,"Puaud, Mickael/0000-0002-7943-1801; Sala-Bayo, Julia/0000-0003-4574-5201; Sabir, Aryan/0000-0002-9710-8864; Jupp, Bianca/0000-0002-9163-9170",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0893-133X,1740-634X,,NA,NA,DEC,2019,44,13,NA,,,,2163,2173,,10.1038/s41386-019-0381-0,,,NA,NA,NA,NA,WOS:000496913900007,30952156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In chronic pain,J,"Higgins, KS; Chambers, CT; Rosen, NO; Sherry, S; Mohammadi, S; Lynch, M; Campbell-Yeo, M; Clark, AJ",NA,,,"Higgins, Kristen S.; Chambers, Christine T.; Rosen, Natalie O.; Sherry, Simon; Mohammadi, Somayyeh; Lynch, Mary; Campbell-Yeo, Marsha; Clark, Alexander J.",NA,NA,Testing the intergenerational model of transmission of risk for chronic pain from parents to their children: an empirical investigation of social transmission pathways,PAIN,,NA,NA,NA,,,,,,NA,NA,"Children of parents with chronic pain have higher rates of pain and internalizing (eg, anxiety and depressive) symptoms than children of parents without chronic pain. Parental modeling of pain behaviour and reinforcement of child pain have been hypothesized to underlie these relationships. These mechanisms were tested in a sample of 72 parents with chronic pain and their children (aged 8-15 years). Standardized measures were completed by parents (pain characteristics, pain interference, and child internalizing) and children (pain catastrophizing, pain over previous 3 months, and internalizing). In a laboratory session, children completed the cold pressor task in the presence of their parent, and parent-child verbalizations were coded. Significant indirect effects of parental pain interference on child self-reported (B = 0.12, 95% confidence interval [CI]: 0.01-0.29) and parent-reported (B = 0.16, 95% CI: 0.03-0.40) internalizing symptoms through child pain catastrophizing were found (parental modeling mechanism), and were not moderated by child chronic pain status. Significant indirect effects were found between parent pain-attending verbalizations and child self-reported (B = 2.58, 95% CI: 1.03-5.31) and parent-reported (B = 2.18, 95% CI: 0.93-4.27) cold pressor task pain intensity and tolerance (B = -1.02, 95% CI: -1.92 to -0.42) through child pain-attending verbalizations (parental reinforcement mechanism). Although further understanding of the temporal relationships between these variables is needed, the current study identifies constructs (eg, parent pain interference, child pain catastrophizing, and parent reinforcement of child pain) that should be further examined as potential targets for prevention and intervention of pain and internalizing symptoms in children of parents with chronic pain.",NA,NA,NA,"Chambers, Christine T./ABA-9257-2020","Chambers, Christine T./0000-0002-7138-916X; Mohammadi, Somayyeh/0000-0002-6656-025X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0304-3959,1872-6623,,NA,NA,NOV,2019,160,11,NA,,,,2544,2553,,10.1097/j.pain.0000000000001658,,,NA,NA,NA,NA,WOS:000512906800014,31393280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In OCD,J,"Alves-Pinto, A; Rus, OG; Reess, TJ; Wohlschlager, A; Wagner, G; Berberich, G; Koch, K",NA,,,"Alves-Pinto, Ana; Rus, Oana Georgiana; Reess, Tim Jonas; Wohlschlaeger, Afra; Wagner, Gerd; Berberich, Goetz; Koch, Kathrin",NA,NA,Altered reward-related effective connectivity in obsessive-compulsive disorder: an fMRI study,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,,NA,NA,NA,,,,,,NA,NA,"Background Obsessive-compulsive disorder (OCD) is characterized by anxiety-provoking, obsessive thoughts. Patients usually react to these thoughts with repetitive behaviours that reduce anxiety and are perceived as rewarding. Hence, reward plays a major role in the psychopathology of OCD. Previous studies showed altered activation in frontostriatal networks, among others, in association with the processing of reward in patients with OCD. Potential alterations in connectivity within these networks have, however, barely been explored. Methods We investigated a sample of patients with OCD and healthy controls using functional MRI and a reward learning task presented in an event-related design. Dynamic causal modelling (DCM) was used to estimate effective connectivity. Results Our sample included 37 patients with OCD and 39 healthy controls. Analyses of task-related changes in connectivity showed a significantly altered effective connectivity between the ventromedial prefrontal cortex (vmPFC) and the orbitofrontal cortex (OFC), among others, both in terms of endogenous connectivity as well as modulatory effects under positive feedback. Clinical measures of compulsion correlated with the effect of feedback input on visual sensory areas. Limitations The reported alterations should be interpreted within the context of the task and the a priori-defined network considered in the analysis. Conclusion This disrupted connectivity in parts of the default mode network and the frontostriatal network may indicate increased rumination and self-related processing impairing the responsiveness toward external rewards. This, in turn, may underlie the general urge for reinforcement accompanying compulsive behaviours.",NA,NA,NA,"Wagner, Gerd/F-2990-2010","Wagner, Gerd/0000-0003-2296-0259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180-4882,1488-2434,,NA,NA,NOV,2019,44,6,NA,,,,395,406,,10.1503/jpn.180195,,,NA,NA,NA,NA,WOS:000501806600006,30964615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,Review paper: NOTE not in English,J,"Kaminski, J; Katthagen, T; Schlagenhauf, F",NA,,,"Kaminski, Jakob; Katthagen, Teresa; Schlagenhauf, Florian",NA,NA,Computationale Psychiatrie: Datengetriebene vs. mechanistische Ansatze,NERVENARZT,,NA,NA,NA,,,,,,NA,NA,"ZusammenfassungDas relativ junge Forschungsfeld der sog. computationalen Psychiatrie versucht, durch Anwendung computationaler Methoden zu einem Verstandnis komplexer psychiatrischer Phanomene beizutragen und eine Translation neurowissenschaftlicher Forschungsergebnisse in die klinische Praxis zu fordern. Wir stellen dieses Forschungsfeld anhand ausgewahlter Beispiele vor und gehen dabei von der Unterscheidung zwischen datengetriebenen und theoriegetriebenen Ansatzen aus. Exemplarisch fur einen datengetriebenen Ansatz stehen Studien zur Vorhersage klinischer Verlaufe beispielsweise bei Personen mit psychotischem Risikosyndrom oder zum Ansprechen auf eine medikamentose Depressionstherapie. Mithilfe theoriegetriebener Ansatze bemuhen sich Forscher*Innen darum, die Mechanismen veranderter Informationsverarbeitung als Ursache psychiatrischer Symptome auf der Verhaltens- und der neuronalen Ebene zu beschreiben. In computationalen Modellen konnen mogliche Mechanismen beschrieben werden, welche die gemessenen Verhaltens- oder neuronalen Daten wahrscheinlich hervorgebracht haben. Beispielsweise wurde bei an Schizophrenie erkrankten Patienten das klinische Phanomen der aberranten Salienz als Lernen irrelevanter Information beschrieben oder kognitive Defizite mit Konnektivitatsveranderungen in frontoparietalen Netzwerken in Verbindung gebracht. Die computationale Psychiatrie kann wichtige Beitrage zur Pradiktion individueller klinischer Verlaufe sowie zu einem mechanistischen Verstandnis psychiatrischer Symptome machen. Die Weiterentwicklung verlasslicher und valider Methoden uber verschiedene Disziplinen hinweg ist hierzu unabdingbar. AbstractThe emerging research field of so-called computational psychiatry attempts to contribute to an understanding of complex psychiatric phenomena by applying computational methods and to promote the translation of neuroscientific research results into clinical practice. This article presents this field of research using selected examples based on the distinction between data-driven and theory-driven approaches. Exemplary for a data-driven approach are studies to predict clinical outcome, for example, in persons with a high-risk state for psychosis or on the response to pharmacological treatment for depression. Theory-driven approaches attempt to describe the mechanisms of altered information processing as the cause of psychiatric symptoms at the behavioral and neuronal level. In computational models possible mechanisms can be described that may have produced the measured behavioral or neuronal data. For example, in schizophrenia patients the clinical phenomenon of aberrant salience has been described as learning irrelevant information or cognitive deficits have been linked to connectivity changes in frontoparietal networks. Computational psychiatry can make important contributions to the prediction of individual clinical courses as well as to a mechanistic understanding of psychiatric symptoms. For this a further development of reliable and valid methods across different disciplines is indispensable.",NA,NA,NA,,"Katthagen, Teresa/0000-0002-7537-4192; Schlagenhauf, Florian/0000-0001-8340-5027; Kaminski, Jakob/0000-0001-8155-3683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028-2804,1433-0407,,NA,NA,NOV,2019,90,11,NA,,SI,,1117,1124,,10.1007/s00115-019-00796-w,,,NA,NA,NA,NA,WOS:000494890600006,31538209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Crystallography,J,"Bruce, NJ; Narzi, D; Trpevski, D; van Keulen, SC; Nair, AG; Rothlisberger, U; Wade, RC; Carloni, P; Kotaleski, JH",NA,,,"Bruce, Neil J.; Narzi, Daniele; Trpevski, Daniel; van Keulen, Siri C.; Nair, Anu G.; Rothlisberger, Ursula; Wade, Rebecca C.; Carloni, Paolo; Kotaleski, Jeanette Hellgren",NA,NA,Regulation of adenylyl cyclase 5 in striatal neurons confers the ability to detect coincident neuromodulatory signals,PLOS COMPUTATIONAL BIOLOGY,,NA,NA,NA,,,,,,NA,NA,"Author summary Adenylyl cyclases (ACs) are enzymes that can translate extracellular signals into the intracellular molecule cAMP, which is thus a 2nd messenger of extracellular events. The brain expresses nine membrane-bound AC variants, and AC5 is the dominant form in the striatum. The striatum is the input stage of the basal ganglia, a brain structure involved in reward learning, i.e. the learning of behaviors that lead to rewarding stimuli (such as food, water, sugar, etc). During reward learning, cAMP production is crucial for strengthening the synapses from cortical neurons onto the striatal principal neurons, and its formation is dependent on several neuromodulatory systems such as dopamine and acetylcholine. It is, however, not understood how AC5 is activated by transient (subsecond) changes in the neuromodulatory signals. Here we combine several computational tools, from molecular dynamics and Brownian dynamics simulations to bioinformatics approaches, to inform and constrain a kinetic model of the AC5-dependent signaling system. We use this model to show how the specific molecular properties of AC5 can detect particular combinations of co-occuring transient changes in the neuromodulatory signals which thus result in a supralinear/synergistic cAMP production. Our results also provide insights into the computational capabilities of the different AC isoforms. Long-term potentiation and depression of synaptic activity in response to stimuli is a key factor in reinforcement learning. Strengthening of the corticostriatal synapses depends on the second messenger cAMP, whose synthesis is catalysed by the enzyme adenylyl cyclase 5 (AC5), which is itself regulated by the stimulatory G alpha(olf) and inhibitory G alpha(i) proteins. AC isoforms have been suggested to act as coincidence detectors, promoting cellular responses only when convergent regulatory signals occur close in time. However, the mechanism for this is currently unclear, and seems to lie in their diverse regulation patterns. Despite attempts to isolate the ternary complex, it is not known if G alpha(olf) and G alpha(i) can bind to AC5 simultaneously, nor what activity the complex would have. Using protein structure-based molecular dynamics simulations, we show that this complex is stable and inactive. These simulations, along with Brownian dynamics simulations to estimate protein association rates constants, constrain a kinetic model that shows that the presence of this ternary inactive complex is crucial for AC5's ability to detect coincident signals, producing a synergistic increase in cAMP. These results reveal some of the prerequisites for corticostriatal synaptic plasticity, and explain recent experimental data on cAMP concentrations following receptor activation. Moreover, they provide insights into the regulatory mechanisms that control signal processing by different AC isoforms.",NA,NA,NA,"Bruce, Neil J/E-8455-2012","Bruce, Neil J/0000-0002-2735-3215; Nair, Anu/0000-0002-1952-9583; Hellgren Kotaleski, Jeanette/0000-0002-0550-0739; Narzi, Daniele/0000-0003-2731-6286; Carloni, Paolo/0000-0002-9010-0149; Wade, Rebecca/0000-0001-5951-8670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1553-734X,1553-7358,,NA,NA,OCT,2019,15,10,NA,,,,,,e1007382,10.1371/journal.pcbi.1007382,,,NA,NA,NA,NA,WOS:000500776600040,31665146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,Clinical group is violence victims,J,"Cisler, JM; Esbensen, K; Sellnow, K; Ross, M; Weaver, S; Sartin-Tarm, A; Herringa, RJ; Kilts, CD",NA,,,"Cisler, Josh M.; Esbensen, Karyn; Sellnow, Kyrie; Ross, Marisa; Weaver, Shelby; Sartin-Tarm, Anneliis; Herringa, Ryan J.; Kilts, Clinton D.",NA,NA,Differential Roles of the Salience Network During Prediction Error Encoding and Facial Emotion Processing Among Female Adolescent Assault Victims,BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING,,NA,NA,NA,,,,,,NA,NA,"BACKGROUND: Early-life assaultive violence exposure is a potent risk factor for posttraumatic stress disorder (PTSD) and other mood and anxiety disorders. Neurocircuitry models posit that increased risk is mediated by heightened emotion processing in a salience network including the dorsal anterior cingulate cortex, anterior insula, and amygdala. However, the processes of reinforcement learning (RL) also engage the salience network and are implicated in responses to early-life trauma and PTSD. To define their relative roles in response to early-life trauma and PTSD symptoms, the current study compared engagement of the salience network during emotion processing and RL as a function of early-life assault exposure. METHODS: Adolescent girls (n = 30 girls who had previously been physically or sexually assaulted; n = 30 healthy girls for comparison) 11 to 17 years of age completed two types of tasks during functional magnetic resonance imaging: a facial emotion processing task and an RL task using either social or nonsocial stimuli. Independent component analysis was used to identify a salience network and characterize its engagement in response to emotion processing and prediction error encoding during the RL tasks. RESULTS: Assault was related to greater reactivity of the salience network during emotion processing. By contrast, we found lesser encoding of negative prediction errors in the salience network, particularly during the social RL task, in girls who had been assaulted. The dysfunction of salience network activity during emotion processing and prediction error encoding was not associated with PTSD symptoms. CONCLUSIONS: These results suggest that hyper- versus hypoactivity of the salience network among trauma-exposed youths depends on the cognitive-affective domain.",NA,NA,NA,"Weaver, Shelby/ABF-3568-2020; Herringa, Ryan/P-2648-2014","Weaver, Shelby/0000-0002-1932-5521; Herringa, Ryan/0000-0002-1936-7959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2451-9022,2451-9030,,NA,NA,APR,2019,4,4,NA,,,,371,380,,10.1016/j.bpsc.2018.08.014,,,NA,NA,NA,NA,WOS:000494421300007,30343131,NA,NA,NA,NA,NA,30343131,"Cisler JM, Esbensen K, Sellnow K, Ross M, Weaver S, Sartin-Tarm A, Herringa RJ, Kilts CD.",Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Apr;4(4):371-380. doi: 10.1016/j.bpsc.2018.08.014. Epub 2018 Sep 11.,Cisler JM,Biol Psychiatry Cogn Neurosci Neuroimaging,2019,22/10/2018,PMC6638574,NIHMS1506741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,In schizophrenia,J,"Hernaus, D; Frank, MJ; Brown, EC; Brown, JK; Gold, JM; Waltz, JA",NA,,,"Hernaus, Dennis; Frank, Michael J.; Brown, Elliot C.; Brown, Jaime K.; Gold, James M.; Waltz, James A.",NA,NA,Impaired Expected Value Computations in Schizophrenia Are Associated With a Reduced Ability to Integrate Reward Probability and Magnitude of Recent Outcomes,BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING,,NA,NA,NA,,,,,,NA,NA,"BACKGROUND: Motivational deficits in people with schizophrenia (PSZ) are associated with an inability to integrate the magnitude and probability of previous outcomes. The mechanisms that underlie probability-magnitude integration deficits, however, are poorly understood. We hypothesized that increased reliance on valueless stimulus-response associations, in lieu of expected value (EV)-based learning, could drive probability-magnitude integration deficits in PSZ with motivational deficits. METHODS: Healthy volunteers (n = 38) and PSZ (n = 49) completed a learning paradigm consisting of four stimulus pairs. Reward magnitude (3, 2, 1, 0 points) and probability (90%, 80%, 20%, 10%) determined each stimulus's EV. Following a learning phase, new and familiar stimulus pairings were presented. Participants were asked to select stimuli with the highest reward value. RESULTS: PSZ with high motivational deficits made increasingly less optimal choices as the difference in reward value (probability X magnitude) between two competing stimuli increased. Using a previously validated computational hybrid model, PSZ relied less on EV (Q-learning) and more on stimulus-response learning (actor-critic), which correlated with Scale for the Assessment of Negative Symptoms motivational deficit severity. PSZ specifically failed to represent reward magnitude, consistent with model demonstrations showing that response tendencies in the actor-critic were preferentially driven by reward probability. CONCLUSIONS: Probability-magnitude deficits in PSZ with motivational deficits arise from underutilization of EV in favor of reliance on valueless stimulus-response associations. Confirmed by our computational hybrid framework, probability-magnitude integration deficits were driven specifically by a failure to represent reward magnitude. This work provides a first mechanistic explanation of complex EV-based learning deficits in PSZ with motivational deficits that arise from an inability to combine information from different reward modalities.",NA,NA,NA,"Waltz, James/AAU-8304-2020","Waltz, James/0000-0002-9236-3719; Brown, Elliot/0000-0002-0209-3293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2451-9022,2451-9030,,NA,NA,MAR,2019,4,3,NA,,,,280,290,,10.1016/j.bpsc.2018.11.011,,,NA,NA,NA,NA,WOS:000494415200010,30683607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,Linguistic analysis,S,"Gui, T; Zhang, Q; Zhu, L; Zhou, X; Peng, ML; Huang, XJ",NA,"Sun, M; Huang, X; Ji, H; Liu, Z; Liu, Y",,"Gui, Tao; Zhang, Qi; Zhu, Liang; Zhou, Xu; Peng, Minlong; Huang, Xuanjing",NA,NA,Depression Detection on Social Media with Reinforcement Learning,"CHINESE COMPUTATIONAL LINGUISTICS, CCL 2019",Lecture Notes in Artificial Intelligence,NA,NA,NA,18th China National Conference on Computational Linguistics (CCL),"OCT 18-20, 2019","Kunming Univ Sci & Technol, Kunming, PEOPLES R CHINA",,Kunming Univ Sci & Technol,NA,NA,"Depression detection is a significant issue for human wellbeing. Conventional diagnosis of depression requires a face-to-face conversation with a doctor, which limits the likelihood of the identification of potential patients. We instead explore the potential of using only the textual information to detect depression based on the content users posted on social media sites. Since users may post a variety of different kinds of content, only a small number of posts are relevant to the signs and symptoms of depression. We propose the use of reinforcement learning method to automatically select the indicator posts from the historical posts of users. Our experimental results demonstrate that the proposed method outperforms both feature-based and neural network-based methods (over 14.6% error reduction). In addition, a series of experiments demonstrate that our model can deal with the noise of data effectively and can generalize to more complex situations.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0302-9743,1611-3349,978-3-030-32381-3; 978-3-030-32380-6,NA,NA,,2019,11856,,NA,,,,613,624,,10.1007/978-3-030-32381-3_49,,,NA,NA,NA,NA,WOS:000578465600049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"T Gui, Q Zhang, L Zhu, X Zhou, M Peng…",2019,… Chinese Computational …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-32381-3_49,,10,03/12/2020 13:53,,NA
0,0,About linguistics/community question forums,S,"Mogavi, RH; Gujar, S; Ma, XJ; Hui, P",NA,"Nayak, AC; Sharma, A",,"Mogavi, Reza Hadi; Gujar, Sujit; Ma, Xiaojuan; Hui, Pan",NA,NA,HRCR: Hidden Markov-Based Reinforcement to Reduce Churn in Question Answering Forums,"PRICAI 2019: TRENDS IN ARTIFICIAL INTELLIGENCE, PT I",Lecture Notes in Artificial Intelligence,NA,NA,NA,16th Pacific Rim International Conference on Artificial Intelligence (PRICAI),"AUG 26-30, 2019","Cuvu, FIJI","Univ S Pacific, Griffith Univ, Macquarie Univ, Fiji Natl Univ, RIKEN Ctr Integrat Med Sci, Univ Western Australia, Australian Comp Soc, Springer Nat",,NA,NA,"The high rate of churning users who abandon the Community Question Answering forums (CQAs) may be one of the crucial issues that hinder their development. More personalized question recommendation to users might help to manage this problem better. In this paper, we propose a new algorithm (we name HRCR) that recommends questions to users such to reduce their churning probability. We present our algorithm in a two-fold structure: First, we use Hidden Markov Models (HMMs) to uncover the users' engagement states inside a CQA. Second, we apply a Reinforcement Learning Model (RL) to recommend users the questions that match better with their engagement mood and thus help them get into a better engagement state (the one with the least churning probability). Experiments on a large-scale offline dataset from Stack Overflow show a meaningful reduction in the churning probability of the users who comply with HRCR's question recommendations.",NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0302-9743,1611-3349,978-3-030-29908-8; 978-3-030-29907-1,NA,NA,,2019,11670,,NA,,,,364,376,,10.1007/978-3-030-29908-8_29,,,NA,NA,NA,NA,WOS:000558143100029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
