Include/exclude,Reason,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
,,J,"Gilbertson, T; Humphries, M; Steele, JD",,,,"Gilbertson, Tom; Humphries, Mark; Steele, J. Douglas",,,Maladaptive striatal plasticity and abnormal reward-learning in cervical dystonia,EUROPEAN JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,"In monogenetic generalized forms of dystonia, in vitro neurophysiological recordings have demonstrated direct evidence for abnormal plasticity at the level of the cortico-striatal synapse. It is unclear whether similar abnormalities contribute to the pathophysiology of cervical dystonia, the most common type of focal dystonia. We investigated whether abnormal cortico-striatal synaptic plasticity contributes to abnormal reward-learning behavior in patients with focal dystonia. Forty patients and 40 controls performed a reward gain and loss avoidance reversal learning task. Participant's behavior was fitted to a computational model of the basal ganglia incorporating detailed cortico-striatal synaptic learning rules. Model comparisons were performed to assess the ability of four hypothesized receptor specific abnormalities of cortico-striatal long-term potentiation (LTP) and long-term depression (LTD): increased or decreased D1:LTP/LTD and increased or decreased D2: LTP/LTD to explain abnormal behavior in patients. Patients were selectively impaired in the post-reversal phase of the reward task. Individual learning rates in the reward reversal task correlated with the severity of the patient's motor symptoms. A model of the striatum with decreased D2:LTP/ LTD best explained the patient's behavior, suggesting excessive D2 cortico-striatal synaptic depotentiation could underpin biased reward-learning in patients with cervical dystonia. Reversal learning impairment in cervical dystonia may be a behavioral correlate of D2-specific abnormalities in cortico-striatal synaptic plasticity. Reinforcement learning tasks with computational modeling could allow the identification of molecular targets for novel treatments based on their ability to restore normal reward-learning behavior in these patients.",,,,,"Gilbertson, Tom/0000-0002-9866-1565; Steele, J Douglas/0000-0002-9822-8753",,,,,,,,,,,,0953-816X,1460-9568,,,,OCT,2019,50,7,,,,,3191,3204,,10.1111/ejn.14414,,,,,,,WOS:000493116600011,30955204,,,,,
,,J,"Aylward, J; Valton, V; Ahn, WY; Bond, RL; Dayan, P; Roiser, JP; Robinson, OJ",,,,"Aylward, Jessica; Valton, Vincent; Ahn, Woo-Young; Bond, Rebecca L.; Dayan, Peter; Roiser, Jonathan P.; Robinson, Oliver J.",,,Altered learning under uncertainty in unmedicated mood and anxiety disorders,NATURE HUMAN BEHAVIOUR,,,,,,,,,,,,"Anxiety is characterized by altered responses under uncertain conditions, but the precise mechanism by which uncertainty changes the behaviour of anxious individuals is unclear. Here we probe the computational basis of learning under uncertainty in healthy individuals and individuals suffering from a mix of mood and anxiety disorders. Participants were asked to choose between four competing slot machines with fluctuating reward and punishment outcomes during safety and stress. We predicted that anxious individuals under stress would learn faster about punishments and exhibit choices that were more affected by those punishments, thus formalizing our predictions as parameters in reinforcement learning accounts of behaviour. Overall, the data suggest that anxious individuals are quicker to update their behaviour in response to negative outcomes (increased punishment learning rates). When treating anxiety, it may therefore be more fruitful to encourage anxious individuals to integrate information over longer horizons when bad things happen, rather than try to blunt their responses to negative outcomes.",,,,"Robinson, Oliver/B-3646-2011","Robinson, Oliver/0000-0002-3100-1132; Roiser, Jonathan/0000-0001-8269-1228; Dayan, Peter/0000-0003-3476-1839",,,,,,,,,,,,2397-3374,,,,,OCT,2019,3,10,,,,,1116,1123,,10.1038/s41562-019-0628-0,,,,,,,WOS:000489637200045,31209369,,,,,
,,J,"Pulcu, E; Shkreli, L; Hoist, CG; Woud, ML; Craske, MG; Browning, M; Reinecke, A",,,,"Pulcu, Erdem; Shkreli, Lorika; Hoist, Carolina Guzman; Woud, Marcella L.; Craske, Michelle G.; Browning, Michael; Reinecke, Andrea",,,The Effects of the Angiotensin II Receptor Antagonist Losartan on Appetitive Versus Aversive Learning: A Randomized Controlled Trial,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,"BACKGROUND: Exposure therapy is a first-line treatment for anxiety disorders but remains ineffective in a large proportion of patients. A proposed mechanism of exposure involves inhibitory learning whereby the association between a stimulus and an aversive outcome is suppressed by a new association with an appetitive or neutral outcome. The blood pressure medication losartan augments fear extinction in rodents and may have similar synergistic effects on human exposure therapy, but the exact cognitive mechanisms underlying these effects remain unknown. METHODS: We used a reinforcement learning paradigm with compound rewards and punishments to test the prediction that losartan augments learning from appetitive relative to aversive outcomes. In a double-blind parallel design, healthy volunteers were randomly assigned to single-dose losartan (50 mg) (n = 28) versus placebo (n = 25). Participants then performed a reinforcement learning task, which simultaneously probes appetitive and aversive learning. Participant choice behavior was analyzed using both a standard reinforcement learning model and analysis of choice switching behavior. RESULTS: Losartan significantly reduced learning rates from aversive events (losses) when participants were first exposed to the novel task environment, while preserving learning from positive outcomes. The same effect was seen in choice switching behavior. CONCLUSIONS: This study shows that losartan enhances learning from positive relative to negative events. This effect may represent a computationally defined neurocognitive mechanism by which the drug could enhance the effect of exposure in clinical populations.",,,,"browning, michael/M-7338-2017","browning, michael/0000-0001-9108-3144",,,,,,,,,,,,0006-3223,1873-2402,,,,SEP 1,2019,86,5,,,,,397,404,,10.1016/j.biopsych.2019.04.010,,,,,,,WOS:000480435400012,31155138,,,,,
,,J,"Takano, K; Van Grieken, J; Raes, F",,,,"Takano, Keisuke; Van Grieken, Julie; Raes, Filip",,,Difficulty in updating positive beliefs about negative cognition is associated with increased depressed mood,JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,,,,,,,,,,,,"Background and objectives: Depressed people hold positive beliefs about negative cognition (e.g., rumination is useful to find a solution), which may motivate those individuals to engage in sustained negative thinking. However, in reality, rumination often leads to unfavorable outcomes. Thus, such beliefs create a large discrepancy between one's expectations and the actual outcome. Therefore, we hypothesized that this prediction error would be associated with increased depressed mood. Methods: We observed how people update their positive beliefs about negative cognition within a volatile environment, in which negative cognition does not always result in a beneficial outcome. Forty-six participants were offered two response options (retrieving a negative or positive personal memory) and subsequently provided either an economic reward or punishment. Retrieving a negative (rather than positive) memory was initially reinforced, although this action-outcome contingency was reversed during the task. In the control condition, positive memory retrieval was initially reinforced, although a contingency reversal was employed to encourage negative memory retrieval. Results: Model-based computational modeling revealed that participants who showed a delay in switching from negative to positive (but not from positive to negative) responses experienced increased levels of depressed mood. This delay in switching was also found to be associated with depressive symptoms and trait rumination. Limitations: The non-clinical nature of the sample may limit the clinical implications of the results. Conclusions: Difficulty in updating positive beliefs (or outcome predictions) for negative cognition may play an important role in depressive symptomatology.",,,,,"Takano, Keisuke/0000-0003-0406-8654",,,,,,,,,,,,0005-7916,1873-7943,,,,SEP,2019,64,,,,,,22,30,,10.1016/j.jbtep.2019.02.001,,,,,,,WOS:000469161400004,30739047,,,,,
,,J,"Geugies, H; Mocking, RJT; Figueroa, CA; Groot, PFC; Marsman, JBC; Servaas, MN; Steele, JD; Schene, AH; Ruhe, HG",,,,"Geugies, Hanneke; Mocking, Roel J. T.; Figueroa, Caroline A.; Groot, Paul F. C.; Marsman, Jan-Bernard C.; Servaas, Michelle N.; Steele, J. Douglas; Schene, Aart H.; Ruhe, Henricus G.",,,Impaired reward-related learning signals in remitted unmedicated patients with recurrent depression,BRAIN,,,,,,,,,,,,"One of the core symptoms of major depressive disorder is anhedonia, an inability to experience pleasure. In patients with major depressive disorder, a dysfunctional reward-system may exist, with blunted temporal difference reward-related learning signals in the ventral striatum and increased temporal difference-related (dopaminergic) activation in the ventral tegmental area. Anhedonia often remains as residual symptom during remission; however, it remains largely unknown whether the abovementioned reward systems are still dysfunctional when patients are in remission. We used a Pavlovian classical conditioning functional MRI task to explore the relationship between anhedonia and the temporal difference-related response of the ventral tegmental area and ventral striatum in medication-free remitted recurrent depression patients (n = 36) versus healthy control subjects (n = 27). Computational modelling was used to obtain the expected temporal difference errors during this task. Patients, compared to healthy controls, showed significantly increased temporal difference reward learning activation in the ventral tegmental area (P-FWE,P- SVC = 0.028). No differences were observed between groups for ventral striatum activity. A group x anhedonia interaction [t(57) = -2.29, P = 0.026] indicated that in patients, higher anhedonia was associated with lower temporal difference activation in the ventral tegmental area, while in healthy controls higher anhedonia was associated with higher ventral tegmental area activation. These findings suggest impaired reward-related learning signals in the ventral tegmental area during remission in patients with depression. This merits further investigation to identify impaired reward-related learning as an endophenotype for recurrent depression. Moreover, the inverse association between reinforcement learning and anhedonia in patients implies an additional disturbing influence of anhedonia on reward-related learning or vice versa, suggesting that the level of anhedonia should be considered in behavioural treatments.",,,,"; Mocking, Roel/H-8131-2012","Steele, J Douglas/0000-0002-9822-8753; Mocking, Roel/0000-0003-3543-3810; Servaas, Michelle/0000-0002-9222-7397",,,,,,,,,,,,0006-8950,1460-2156,,,,AUG,2019,142,,8,,,,2510,2522,,10.1093/brain/awz167,,,,,,,WOS:000493084400036,31280309,,,,,
,,J,"Robbins, TW; Cardinal, RN",,,,"Robbins, Trevor W.; Cardinal, Rudolf N.",,,Computational psychopharmacology: a translational and pragmatic approach,PSYCHOPHARMACOLOGY,,,,,,,,,,,,"Rationale Psychopharmacology needs novel quantitative measures and theoretical approaches based on computational modelling that can be used to help translate behavioural findings from experimental animals to humans, including patients with neuropsychiatric disorders. Objectives This brief review exemplifies this approach when applied to recent published studies of the effects of manipulating central dopaminergic and serotoninergic systems in rodents and marmoset monkeys, and possible comparisons with healthy human volunteers receiving systemic agents or patients with depression and schizophrenia. Methods Behavioural effects of central depletions of dopamine or serotonin in monkeys in probabilistic learning paradigms are characterised further by computational modelling methods and related to rodent and human data. Results Several examples are provided of the power of computational modelling to derive new measures and reappraise conventional explanations of regional neurotransmitter depletion and other drug effects, whilst enhancing construct validation in patient groups. Specifically, effects are shown on such parameters as 'stimulus stickiness' and 'side stickiness', which occur over and above effects on standard parameters of reinforcement learning, reminiscent of some early innovations in data analysis in psychopharmacology. Conclusions Computational modelling provides a useful methodology for further detailed analysis of behavioural mechanisms that are affected by pharmacological manipulations across species and will aid the translation of experimental findings to understand the therapeutic effects of medications in neuropsychiatric disorders, as well as facilitating future drug discovery.",,,,"Cardinal, Rudolf/AAG-2597-2020","Cardinal, Rudolf/0000-0002-8751-5167",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2295,2305,,10.1007/s00213-019-05302-3,,,,,,,WOS:000481767900002,31273400,,,,,
,,J,"Noworyta-Sokolowska, K; Kozub, A; Jablonska, J; Parkitna, JR; Drozd, R; Rygula, R",,,,"Noworyta-Sokolowska, Karolina; Kozub, Anna; Jablonska, Judyta; Parkitna, Jan Rodriguez; Drozd, Robert; Rygula, Rafal",,,Sensitivity to negative and positive feedback as a stable and enduring behavioural trait in rats,PSYCHOPHARMACOLOGY,,,,,,,,,,,,"Rationale According to psychological theories, cognitive distortions play a pivotal role in the aetiology and recurrence of mood disorders. Although clinical evidence for the coexistence of depression and altered sensitivity to performance feedback is relatively coherent, we still do not know whether increased or decreased sensitivity to positive or negative feedback is associated with 'pro-depressive' profile in healthy subjects. Objective Our research has been designed to answer this question, and here, we present the first steps in that direction. Methods Using a rat version of the probabilistic reversal-learning (PRL) paradigm, we evaluated how sensitivity to negative and positive feedback influences other cognitive processes associated with mood disorders, such as motivation in the progressive ratio schedule of reinforcement (PRSR) paradigm, hedonic status in the sucrose preference (SP) test, locomotor and exploratory activity in the open field (OF) test, and anxiety in the light/dark box (LDB) test. Results The results of our study demonstrated for the first time that in rodents, sensitivity to negative and positive feedback could be considered a stable and enduring behavioural trait. Importantly, we also showed that these traits are independent of each other and that trait sensitivity to positive feedback is associated with cognitive flexibility in the PRL test. The computational modelling results also revealed that in animals classified as sensitive to positive feedback, the alpha learning rates for both positive and negative reward prediction errors were higher than those in animals classified as insensitive. We observed no statistically significant interactions between sensitivity to negative or positive feedback and the parameters measured in the PRSR, SP, OF or LDB tests. Conclusions Further studies using animal models of depression based on chronic stress should reveal whether sensitivity to feedback is a latent trait that when interacts with stressful life events, could produce correlates of depressive symptoms in rats.",,,,"Rygula, Rafal/AAI-4914-2020","Rygula, Rafal/0000-0002-3662-5833",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2389,2403,,10.1007/s00213-019-05333-w,,,,,,,WOS:000481767900008,31375849,,,,,
,,J,"Gu, XS; FitzGerald, THB; Friston, KJ",,,,"Gu, Xiaosi; FitzGerald, Thomas H. B.; Friston, Karl J.",,,Modeling subjective belief states in computational psychiatry: interoceptive inference as a candidate framework,PSYCHOPHARMACOLOGY,,,,,,,,,,,,"The nascent field computational psychiatry has undergone exponential growth since its inception. To date, much of the published work has focused on choice behaviors, which are primarily modeled within a reinforcement learning framework. While this initial normative effort represents a milestone in psychiatry research, the reality is that many psychiatric disorders are defined by disturbances in subjective states (e.g., depression, anxiety) and associated beliefs (e.g., dysmorphophobia, paranoid ideation), which are not considered in normative models. In this paper, we present interoceptive inference as a candidate framework for modeling subjective-and associated belief-states in computational psychiatry. We first introduce the notion and significance of modeling subjective states in computational psychiatry. Next, we present the interoceptive inference framework, and in particular focus on the relationship between interoceptive inference (i.e., belief updating) and emotions. Lastly, we will use drug craving as an example of subjective states to demonstrate the feasibility of using interoceptive inference to model the psychopathology of subjective states.",,,,"; Friston, Karl/D-9230-2011","Gu, Xiaosi/0000-0002-9373-987X; Friston, Karl/0000-0001-7984-8909",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2405,2412,,10.1007/s00213-019-05300-5,,,,,,,WOS:000481767900009,31230144,,,,,
,,J,"Sebold, M; Garbusow, M; Jetzschmann, P; Schad, DJ; Nebe, S; Schlagenhauf, F; Heinz, A; Rapp, M; Romanczuk-Seiferth, N",,,,"Sebold, Miriam; Garbusow, M.; Jetzschmann, P.; Schad, D. J.; Nebe, S.; Schlagenhauf, F.; Heinz, A.; Rapp, M.; Romanczuk-Seiferth, N.",,,Reward and avoidance learning in the context of aversive environments and possible implications for depressive symptoms,PSYCHOPHARMACOLOGY,,,,,,,,,,,,"Background Aversive stimuli in the environment influence human actions. This includes valence-dependent influences on action selection, e.g., increased avoidance but decreased approach behavior. However, it is yet unclear how aversive stimuli interact with complex learning and decision-making in the reward and avoidance domain. Moreover, the underlying computational mechanisms of these decision-making biases are unknown. Methods To elucidate these mechanisms, 54 healthy young male subjects performed a two-step sequential decision-making task, which allows to computationally model different aspects of learning, e.g., model-free, habitual, and model-based, goal-directed learning. We used a within-subject design, crossing task valence (reward vs. punishment learning) with emotional context (aversive vs. neutral background stimuli). We analyzed choice data, applied a computational model, and performed simulations. Results Whereas model-based learning was not affected, aversive stimuli interacted with model-free learning in a way that depended on task valence. Thus, aversive stimuli increased model-free avoidance learning but decreased model-free reward learning. The computational model confirmed this effect: the parameter lambda that indicates the influence of reward prediction errors on decision values was increased in the punishment condition but decreased in the reward condition when aversive stimuli were present. Further, by using the inferred computational parameters to simulate choice data, our effects were captured. Exploratory analyses revealed that the observed biases were associated with subclinical depressive symptoms. Conclusion Our data show that aversive environmental stimuli affect complex learning and decision-making, which depends on task valence. Further, we provide a model of the underlying computations of this affective modulation. Finally, our finding of increased decision-making biases in subjects reporting subclinical depressive symptoms matches recent reports of amplified Pavlovian influences on action selection in depression and suggests a potential vulnerability factor for mood disorders. We discuss our findings in the light of the involvement of the neuromodulators serotonin and dopamine.",,,,"Rapp, Michael/ABB-7573-2020; Heinz, Andreas/ABB-7736-2020; Nebe, Stephan/M-9078-2019","Rapp, Michael/0000-0003-0106-966X; Nebe, Stephan/0000-0003-3968-9557; Heinz, Andreas/0000-0001-5405-9065; Sebold, Miriam/0000-0002-6006-3201",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2437,2449,,10.1007/s00213-019-05299-9,,,,,,,WOS:000481767900012,31254091,,,,,
,,J,"Porr, B; Miller, A; Trew, A",,,,"Porr, Bernd; Miller, Alice; Trew, Alex",,,An investigation into serotonergic and environmental interventions against depression in a simulated delayed reward paradigm,ADAPTIVE BEHAVIOR,,,,,,,,,,,,"The disruption of the serotonergic (5HT) system has been implicated in causing major depression and the standard view is that a lack of serotonin is to blame for the resulting symptoms. Consequently, pharmacological interventions aim to increase serotonin concentration in its target areas or stimulating excitatory 5HT receptors. A standard approach is to use serotonin reuptake inhibitors (SSRIs) which cause a higher accumulation of serotonin. Another approach is to stimulate excitatory serotonin receptors with psychedelic drugs. This article compares these two approaches by first setting up a system-level limbic system model of the relevant brain areas and then modelling a delayed reward paradigm which is known to be disrupted by a lack of 5HT. Central to our model is how serotonin changes the response characteristics of decision-making neurons where low levels of 5HT allow small signals to pass through, whereas high levels of 5HT create a barrier for smaller signals but amplifying the larger ones. We show with both standard behavioural simulations and model checking that SSRIs perform significantly better against interventions with psychedelics. However, psychedelics might work better in other paradigms where a high level of exploration is beneficial to obtain rewards.",,,,,"Porr, Bernd/0000-0001-8157-998X",,,,,,,,,,,,1059-7123,1741-2633,,,,AUG,2020,28,4,,,,,241,260,UNSP 1059712319864278,10.1177/1059712319864278,,JUL 2019,,,,,WOS:000478511900001,,,,,,
,,J,"Flores, A; Alfaro, L; Herrera, J; Hinojosa, E",,,,"Flores, Anibal; Alfaro, Luis; Herrera, Jose; Hinojosa, Edward",,,Proposal Models for Personalization of e-Learning based on Flow Theory and Artificial Intelligence,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,,,,,,,,,,"This paper presents the comparison of the results of two models for the personalization of learning resources sequences in a Massive Online Open Course (MOOC). The compared models are very similar and differ just in the way how they recommend the learning resource sequences to each participant of the MOOC. In the first model, Case Based Reasoning (CBR) and Euclidean distance is used to recommend learning resource sequences that were successful in the past, while in the second model, the Q-Learning algorithm of Reinforcement Learning is used to recommend optimal learning resource sequences. The design of the learning resources is based on the flow theory considering dimensions as knowledge level of the student versus complexity level of the learning resource with the aim of avoiding the problems of anxiety or boredom during the learning process of the MOOC.",,,,"Garcia, Anibal Fernando Flores/AAB-5478-2019; Hinojosa Cardenas, Edward/J-9700-2016","Garcia, Anibal Fernando Flores/0000-0003-4638-8242; Hinojosa Cardenas, Edward/0000-0003-0307-7567",,,,,,,,,,,,2158-107X,2156-5570,,,,JUL,2019,10,7,,,,,380,390,,,,,,,,,WOS:000485682500053,,,,,,
,,J,"Rabelo-da-Ponte, FD; Gomes, JMP; Torres, NL; Barbosa, JIC; de Andrade, GM; Macedo, D; Ceppi, B",,,,"Rabelo-da-Ponte, Francisco Diego; Pessoa Gomes, Jessica Maria; Torres, Nathercia Lima; Coelho Barbosa, Joao Ilo; de Andrade, Geanne Matos; Macedo, Danielle; Ceppi, Bruno",,,"Behavioral, affective, and cognitive alterations induced by individual and combined environmental stressors in rats",BRAZILIAN JOURNAL OF PSYCHIATRY,,,,,,,,,,,,"Objective: To evaluate whether exposing rats to individual or combined environmental stressors triggers endophenotypes related to mood and anxiety disorders, and whether this effect depends on the nature of the behavior (i.e., innate or learned). Methods: We conducted a three-phase experimental protocol. In phase I (baseline), animals subjected to mixed schedule of reinforcement were trained to press a lever with a fixed interval of 1 minute and a limited hold of 3 seconds. On the last day of phase I, an open-field test was performed and the animals were divided into four experimental groups (n=8/group). In phase II (repeated stress), each group was exposed to either hot air blast (HAB), paradoxical sleep deprivation (PSD) or both (HAB + PSD group) on alternate days over a 10-day period. Control group animals were not exposed to stressors. In phase III (post-stress evaluation), behavior was analyzed on the first (short-term effects), third (mid-term effects), and fifth (long-term effects) days after repeated stress. Results: The PSD group presented operant hyperactivity, the HAB group presented spontaneous hypoactivity and anxiety, and the HAB + PSD group presented spontaneous hyperactivity, operant hypoactivity, impulsivity, loss of interest, and cognitive impairment. Conclusion: A combination of environmental stressors (HAB and PSD) may induce endophenotypes related to bipolar disorder.",,,,"de Andrade, Geanne Matos/V-2802-2017; Macedo, Danielle/E-3424-2014","de Andrade, Geanne Matos/0000-0001-9363-4130; Macedo, Danielle/0000-0001-8980-9970; CEPP, FRANCISCO BRUNO/0000-0002-6557-4369; Torres, Nathercia/0000-0003-0319-0236",,,,,,,,,,,,1516-4446,1809-452X,,,,JUL-AUG,2019,41,4,,,,,289,296,,10.1590/1516-4446-2018-0009,,,,,,,WOS:000477777600005,30892378,,,,,
,,J,"Dezfouli, A; Griffiths, K; Ramos, F; Dayan, P; Balleine, BW",,,,"Dezfouli, Amir; Griffiths, Kristi; Ramos, Fabio; Dayan, Peter; Balleine, Bernard W.",,,Models that learn how humans learn: The case of decision-making and its disorders,PLOS COMPUTATIONAL BIOLOGY,,,,,,,,,,,,"Popular computational models of decision-making make specific assumptions about learning processes that may cause them to underfit observed behaviours. Here we suggest an alternative method using recurrent neural networks (RNNs) to generate a flexible family of models that have sufficient capacity to represent the complex learning and decision- making strategies used by humans. In this approach, an RNN is trained to predict the next action that a subject will take in a decision-making task and, in this way, learns to imitate the processes underlying subjects' choices and their learning abilities. We demonstrate the benefits of this approach using a new dataset drawn from patients with either unipolar (n = 34) or bipolar (n = 33) depression and matched healthy controls (n = 34) making decisions on a two-armed bandit task. The results indicate that this new approach is better than baseline reinforcement-learning methods in terms of overall performance and its capacity to predict subjects' choices. We show that the model can be interpreted using off-policy simulations and thereby provides a novel clustering of subjects' learning processes-something that often eludes traditional approaches to modelling and behavioural analysis. Author summary Computational models of decision-making provide a quantitative characterisation of the learning and choice processes behind human actions. Designing a computational model is often based on manual engineering with an iterative process to examine the consistency between different aspects of the model and the empirical data. In practice, however, inconsistencies between the model and observed behaviours can remain hidden behind examined summary statistics. To address this limitation, we developed a recurrent neural network (RNNs) as a flexible type of model that can automatically characterize human decision-making processes without requiring tweaking and engineering. To show the benefits of this new approach, we collected data on a decision-making task conducted on subjects with either bipolar or unipolar depression, as well as healthy controls. The results showed that, indeed, important aspects of decision-making remained uncaptured by typical computational models and even their enhanced variants, but were captured by RNNs automatically. Further, we were able to show that the nature of such processes can be unveiled by simulating the model under various conditions. This new approach can be used, therefore, as a standalone model of decision-making or as a baseline model to evaluate how well other candidate models fit observed data.",,,,,"Dezfouli, Amir/0000-0002-7633-9225; Balleine, Bernard/0000-0001-8618-7950; Dayan, Peter/0000-0003-3476-1839",,,,,,,,,,,,,1553-7358,,,,JUN,2019,15,6,,,,,,,e1006903,10.1371/journal.pcbi.1006903,,,,,,,WOS:000474703000007,31185008,,,,,
,,J,"Berwian, IM; Schneebeli, M; Renz, DL; Collins, AGE; Seifritz, E; Stephan, KE; Huys, QJM",,,,"Berwian, Isabel M.; Schneebeli, Maya; Renz, Daniel L.; Collins, Ann G. E.; Seifritz, Erich; Stephan, Klaas E.; Huys, Quentin J. M.",,,A Combined Reinforcement-Learning Drift-Diffusion Model to Understand Choice Behaviour in Remitted Depression and Relapse After Antidepressant Discontinuation,BIOLOGICAL PSYCHIATRY,,,,,74th Annual Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 16-18, 2019","Chicago, IL",Soc Biol Psychiat,,,,,,,,,"Berwian, Isabel/0000-0003-4626-9016",,,,,,,,,,,,0006-3223,1873-2402,,,,MAY 15,2019,85,10,,S,,F138,S266,S266,,10.1016/j.biopsych.2019.03.675,,,,,,,WOS:000472661000650,,,,,,
,,J,"Lawlor, V; Webb, C; Wiecki, T; Frank, M; Trivedi, M; Pizzagalli, D; Dillon, D",,,,"Lawlor, Victoria; Webb, Christian; Wiecki, Thomas; Frank, Michael; Trivedi, Madhukar; Pizzagalli, Diego; Dillon, Daniel",,,Dissecting the Impact of Depression on Decision-Making During a Probabilistic Reward Task,BIOLOGICAL PSYCHIATRY,,,,,74th Annual Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 16-18, 2019","Chicago, IL",Soc Biol Psychiat,,,,,,,,"Pizzagalli, Diego A./Z-1595-2019",,,,,,,,,,,,,0006-3223,1873-2402,,,,MAY 15,2019,85,10,,S,,T139,S183,S183,,10.1016/j.biopsych.2019.03.462,,,,,,,WOS:000472661000443,,,,,,
,,J,"Allen, MT; Handy, JD; Miller, DP; Servatius, RJ",,,,"Allen, M. T.; Handy, J. D.; Miller, D. P.; Servatius, R. J.",,,Avoidance learning and classical eyeblink conditioning as model systems to explore a learning diathesis model of PTSD,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,,,,,,,,,,,,"Experiencing a trauma is necessary, but not sufficient, for the development of post-traumatic stress disorder (PTSD) in that most individuals who experience a trauma do not go on to develop PTSD. This suggests that identifiable vulnerabilities (i.e., diatheses) exist that increase the risk for the development of PTSD. One such factor is the personality temperament of behavioral inhibition (BI). Organisms that exhibit BI were studied in the context of avoidance learning and classical eyeblink conditioning. We present a body of evidence supporting a learning diathesis model in which behaviorally inhibited organisms exhibit enhanced acquisition and resistance to extinction in these tasks. Vulnerable individuals show learning-related enhancements when the learning situation involves some degree of uncertainty. We review the known brain circuitry involved in classical eyeblink conditioning in the context of the learning diathesis model. Finally, the data reviewed here demonstrate the value of studying vulnerability factors in humans and a rodent model using cerebellar-dependent learning tasks for understanding the acquisition and endurance of PTSD symptomatology.",,,,,,,,,,,,,,,,,0149-7634,1873-7528,,,,MAY,2019,100,,,,,,370,386,,10.1016/j.neubiorev.2019.03.003,,,,,,,WOS:000465050600026,30952323,,,,,
,,J,"Smith, R; Alkozei, A; Killgore, WDS",,,,"Smith, Ryan; Alkozei, Anna; Killgore, William D. S.",,,Parameters as Trait Indicators: Exploring a Complementary Neurocomputational Approach to Conceptualizing and Measuring Trait Differences in Emotional Intelligence,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,"Current assessments of trait emotional intelligence (EI) rely on self-report inventories. While this approach has seen considerable success, a complementary approach allowing objective assessment of EI-relevant traits would provide some potential advantages. Among others, one potential advantage is that it would aid in emerging efforts to assess the brain basis of trait EI, where self-reported competency levels do not always match real-world behavior. In this paper, we review recent experimental paradigms in computational cognitive neuroscience (CCN), which allow behavioral estimates of individual differences in range of parameter values within computational models of neurocognitive processes. Based on this review, we illustrate how several of these parameters appear to correspond well to EI-relevant traits (i.e., differences in mood stability, stress vulnerability, self-control, and flexibility, among others). In contrast, although estimated objectively, these parameters do not correspond well to the optimal performance abilities assessed within competing ability models of EI. We suggest that adapting this approach from CCN-by treating parameter value estimates as objective trait EI measures-could (1) provide novel research directions, (2) aid in characterizing the neural basis of trait EI, and (3) offer a promising complementary assessment method.",,,,,"Smith, Ryan/0000-0002-4448-185X",,,,,,,,,,,,1664-1078,,,,,APR 18,2019,10,,,,,,,,848,10.3389/fpsyg.2019.00848,,,,,,,WOS:000465124000001,31057467,,,,,
