Include/exclude at abstract review,Reason,PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
0,Review paper,J,"Robbins, TW; Cardinal, RN",,,,"Robbins, Trevor W.; Cardinal, Rudolf N.",,,Computational psychopharmacology: a translational and pragmatic approach,PSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2295,2305,,10.1007/s00213-019-05302-3,,,,,,,WOS:000481767900002,31273400,,,,
0,Rats,J,"Noworyta-Sokolowska, K; Kozub, A; Jablonska, J; Parkitna, JR; Drozd, R; Rygula, R",,,,"Noworyta-Sokolowska, Karolina; Kozub, Anna; Jablonska, Judyta; Parkitna, Jan Rodriguez; Drozd, Robert; Rygula, Rafal",,,Sensitivity to negative and positive feedback as a stable and enduring behavioural trait in rats,PSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,,"Rygula, Rafal/0000-0002-3662-5833",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2389,2403,,10.1007/s00213-019-05333-w,,,,,,,WOS:000481767900008,31375849,,,,
0,Review paper,J,"Gu, XS; FitzGerald, THB; Friston, KJ",,,,"Gu, Xiaosi; FitzGerald, Thomas H. B.; Friston, Karl J.",,,Modeling subjective belief states in computational psychiatry: interoceptive inference as a candidate framework,PSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,,"Gu, Xiaosi/0000-0002-9373-987X",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2405,2412,,10.1007/s00213-019-05300-5,,,,,,,WOS:000481767900009,31230144,,,,
0,All healthy volunteers (though did some exploratory subclinical analyses),J,"Sebold, M; Garbusow, M; Jetzschmann, P; Schad, DJ; Nebe, S; Schlagenhauf, F; Heinz, A; Rapp, M; Romanczuk-Seiferth, N",,,,"Sebold, Miriam; Garbusow, M.; Jetzschmann, P.; Schad, D. J.; Nebe, S.; Schlagenhauf, F.; Heinz, A.; Rapp, M.; Romanczuk-Seiferth, N.",,,Reward and avoidance learning in the context of aversive environments and possible implications for depressive symptoms,PSYCHOPHARMACOLOGY,,,,,,,,,,,,,,,,"Nebe, Stephan/M-9078-2019","Nebe, Stephan/0000-0003-3968-9557",,,,,,,,,,,,0033-3158,1432-2072,,,,AUG,2019,236,8,,,SI,,2437,2449,,10.1007/s00213-019-05299-9,,,,,,,WOS:000481767900012,31254091,,,,
0,Physics paper,J,"Sakellaropoulos, D; Bousoulas, P; Tsoukalas, D",,,,"Sakellaropoulos, D.; Bousoulas, P.; Tsoukalas, D.",,,Impact of Pt embedded nanocrystals on the resistive switching and synaptic properties of forming free TiO2-x/TiO2-y-based bilayer structures,JOURNAL OF APPLIED PHYSICS,,,,,,,,,,,,,,,,,"Tsoukalas, Dimitris/0000-0001-5189-3396; Sakellaropoulos, Dionisis/0000-0002-8136-365X",,,,,,,,,,,,0021-8979,1089-7550,,,,Jul-28,2019,126,4,,,,,,,44501,10.1063/1.5094242,,,,,,,WOS:000478840600019,,,,,
0,Circuits/rats,J,"Porr, B; Miller, A; Trew, A",,,,"Porr, Bernd; Miller, Alice; Trew, Alex",,,An investigation into serotonergic and environmental interventions against depression in a simulated delayed reward paradigm,ADAPTIVE BEHAVIOR,,,,,,,,,,,,,,,,,"Porr, Bernd/0000-0001-8157-998X",,,,,,,,,,,,1059-7123,1741-2633,,,,,,,,,,,,,,UNSP 1059712319864278,10.1177/1059712319864278,,Jul-19,,,,,WOS:000478511900001,,,,,
0,About MOOCS,J,"Flores, A; Alfaro, L; Herrera, J; Hinojosa, E",,,,"Flores, Anibal; Alfaro, Luis; Herrera, Jose; Hinojosa, Edward",,,Proposal Models for Personalization of e-Learning based on Flow Theory and Artificial Intelligence,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,,,,,,,,,,,,,,"Garcia, Anibal Fernando Flores/AAB-5478-2019","Garcia, Anibal Fernando Flores/0000-0003-4638-8242",,,,,,,,,,,,2158-107X,2156-5570,,,,JUL,2019,10,7,,,,,380,390,,,,,,,,,WOS:000485682500053,,,,,
0,Rats,J,"Rabelo-da-Ponte, FD; Gomes, JMP; Torres, NL; Barbosa, JIC; de Andrade, GM; Macedo, D; Ceppi, B",,,,"Rabelo-da-Ponte, Francisco Diego; Pessoa Gomes, Jessica Maria; Torres, Nathercia Lima; Coelho Barbosa, Joao Ilo; de Andrade, Geanne Matos; Macedo, Danielle; Ceppi, Bruno",,,"Behavioral, affective, and cognitive alterations induced by individual and combined environmental stressors in rats",REVISTA BRASILEIRA DE PSIQUIATRIA,,,,,,,,,,,,,,,,,"CEPP, FRANCISCO BRUNO/0000-0002-6557-4369",,,,,,,,,,,,1516-4446,1809-452X,,,,JUL-AUG,2019,41,4,,,,,289,296,,10.1590/1516-4446-2018-0009,,,,,,,WOS:000477777600005,30892378,,,,
0,fixed effects analysis,J,"Dezfouli, A; Griffiths, K; Ramos, F; Dayan, P; Balleine, BW",,,,"Dezfouli, Amir; Griffiths, Kristi; Ramos, Fabio; Dayan, Peter; Balleine, Bernard W.",,,Models that learn how humans learn: The case of decision-making and its disorders,PLOS COMPUTATIONAL BIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1553-7358,,,,JUN,2019,15,6,,,,,,,e1006903,10.1371/journal.pcbi.1006903,,,,,,,WOS:000474703000007,31185008,,,,
0,Meeting abstract,J,"Berwian, IM; Schneebeli, M; Renz, DL; Collins, AGE; Seifritz, E; Stephan, KE; Huys, QJM",,,,"Berwian, Isabel M.; Schneebeli, Maya; Renz, Daniel L.; Collins, Ann G. E.; Seifritz, Erich; Stephan, Klaas E.; Huys, Quentin J. M.",,,A Combined Reinforcement-Learning Drift-Diffusion Model to Understand Choice Behaviour in Remitted Depression and Relapse After Antidepressant Discontinuation,BIOLOGICAL PSYCHIATRY,,,,,74th Annual Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 16-18, 2019","Chicago, IL",Soc Biol Psychiat,,,,,,,,,,,,,,,,,,,,,0006-3223,1873-2402,,,,May-15,2019,85,10,,S,,F138,S266,S266,,10.1016/j.biopsych.2019.03.675,,,,,,,WOS:000472661000650,,,,,
0,Meeting abstract,J,"Lawlor, V; Webb, C; Wiecki, T; Frank, M; Trivedi, M; Pizzagalli, D; Dillon, D",,,,"Lawlor, Victoria; Webb, Christian; Wiecki, Thomas; Frank, Michael; Trivedi, Madhukar; Pizzagalli, Diego; Dillon, Daniel",,,Dissecting the Impact of Depression on Decision-Making During a Probabilistic Reward Task,BIOLOGICAL PSYCHIATRY,,,,,74th Annual Meeting of the Society-of-Biological-Psychiatry (SOBP),"MAY 16-18, 2019","Chicago, IL",Soc Biol Psychiat,,,,,,,,"Pizzagalli, Diego A./Z-1595-2019",,,,,,,,,,,,,0006-3223,1873-2402,,,,May-15,2019,85,10,,S,,T139,S183,S183,,10.1016/j.biopsych.2019.03.462,,,,,,,WOS:000472661000443,,,,,
0,Review paper,J,"Allen, MT; Handy, JD; Miller, DP; Servatius, RJ",,,,"Allen, M. T.; Handy, J. D.; Miller, D. P.; Servatius, R. J.",,,Avoidance learning and classical eyeblink conditioning as model systems to explore a learning diathesis model of PTSD,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0149-7634,1873-7528,,,,MAY,2019,100,,,,,,370,386,,10.1016/j.neubiorev.2019.03.003,,,,,,,WOS:000465050600026,30952323,,,,
0,Review paper,J,"Smith, R; Alkozei, A; Killgore, WDS",,,,"Smith, Ryan; Alkozei, Anna; Killgore, William D. S.",,,Parameters as Trait Indicators: Exploring a Complementary Neurocomputational Approach to Conceptualizing and Measuring Trait Differences in Emotional Intelligence,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664-1078,,,,,Apr-18,2019,10,,,,,,,,848,10.3389/fpsyg.2019.00848,,,,,,,WOS:000465124000001,31057467,,,,
0,Review paper,J,"Radulescu, A; Niv, Y",,,,"Radulescu, Angela; Niv, Yael",,,State representation in mental illness,CURRENT OPINION IN NEUROBIOLOGY,,,,,,,,,,,,,,,,,"Niv, Yael/0000-0002-0259-8371",,,,,,,,,,,,0959-4388,1873-6882,,,,APR,2019,55,,,,,,160,166,,10.1016/j.conb.2019.03.011,,,,,,,WOS:000472127600021,31051434,,,,
0,Review paper,J,"Allen, MT; Myers, CE; Beck, KD; Pang, KCH; Servatius, RJ",,,,"Allen, Michael Todd; Myers, Catherine E.; Beck, Kevin D.; Pang, Kevin C. H.; Servatius, Richard J.",,,Inhibited Personality Temperaments Translated Through Enhanced Avoidance and Associative Learning Increase Vulnerability for PTSD,FRONTIERS IN PSYCHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664-1078,,,,,Mar-22,2019,10,,,,,,,,496,10.3389/fpsyg.2019.00496,,,,,,,WOS:000462125600001,30967806,,,,
1,,J,"Dombrovski, AY; Hallquist, MN; Brown, VM; Wilson, J; Szanto, K",,,,"Dombrovski, Alexandre Y.; Hallquist, Michael N.; Brown, Vanessa M.; Wilson, Jonathan; Szanto, Katalin",,,"Value-Based Choice, Contingency Learning, and Suicidal Behavior in Mid- and Late-Life Depression",BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,,"Brown, Vanessa/0000-0003-0968-1095",,,,,,,,,,,,0006-3223,1873-2402,,,,Mar-15,2019,85,6,,,,,506,516,,10.1016/j.biopsych.2018.10.006,,,,,,,WOS:000458733600012,30502081,,,,
0,Not case-control,J,"Patzelt, EH; Kool, W; Millner, AJ; Gershman, SJ",,,,"Patzelt, Edward H.; Kool, Wouter; Millner, Alexander J.; Gershman, Samuel J.",,,Incentives Boost Model-Based Control Across a Range of Severity on Several Psychiatric Constructs,BIOLOGICAL PSYCHIATRY,,,,,,,,,,,,,,,,,"Patzelt, Edward/0000-0002-0534-5046; Gershman, Samuel/0000-0002-6546-3298; Millner, Alexander/0000-0001-6092-2857",,,,,,,,,,,,0006-3223,1873-2402,,,,Mar-01,2019,85,5,,,,,425,433,,10.1016/j.biopsych.2018.06.018,,,,,,,WOS:000457543700008,30077331,,,,
0,Not case-control,J,"Romaniuk, L; Sandu, AL; Waiter, GD; McNeil, CJ; Shen, XY; Harris, MA; Macfarlane, JA; Lawrie, SM; Deary, IJ; Murray, AD; Delgado, MR; Steele, JD; McIntosh, AM; Whalley, HC",,,,"Romaniuk, Liana; Sandu, Anca-Larisa; Waiter, Gordon D.; McNeil, Christopher J.; Shen Xueyi; Harris, Matthew A.; Macfarlane, Jennifer A.; Lawrie, Stephen M.; Deary, Ian J.; Murray, Alison D.; Delgado, Mauricio R.; Steele, J. Douglas; McIntosh, Andrew M.; Whalley, Heather C.",,,The Neurobiology of Personal Control During Reward Learning and Its Relationship to Mood,BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING,,,,,,,,,,,,"BACKGROUND: The majority of reward learning neuroimaging studies have not focused on the motivational aspects of behavior, such as the inherent value placed on choice itself. The experience and affective value of personal control may have particular relevance for psychiatric disorders, including depression. METHODS: We adapted a functional magnetic resonance imaging reward task that probed the value placed on exerting control over one's decisions, termed choice value, in 122 healthy participants. We examined activation associated with choice value; personally chosen versus passively received rewards; and reinforcement learning metrics, such as prediction error. Relationships were tested between measures of motivational orientation (categorized as autonomy, control, and impersonal) and subclinical depressive symptoms. RESULTS: Anticipating personal choice activated left insula, cingulate, right inferior frontal cortex, and ventral striatum (p(familywise error-corrected) < .05). Ventral striatal activations to choice were diminished in participants with subclinical depressive symptoms. Personally chosen rewards were associated with greater activation of the insula and inferior frontal gyrus, cingulate cortex, hippocampus, thalamus, and substantia nigra compared with rewards that were passively received. In participants who felt they had little control over their own behavior (impersonal orientation), prediction error signals in nucleus accumbens were stronger during passive trials. CONCLUSIONS: Previous findings regarding personal choice have been verified and advanced through the use of both reinforcement learning models and correlations with psychopathology. Personal choice has an impact on the extended reward network, potentially allowing these clinically important areas to be addressed in ways more relevant to personality styles, self-esteem, and symptoms such as motivational anhedonia.",,,,"Steele, J Douglas/A-8972-2017; McIntosh, Andrew/B-9379-2008","Steele, J Douglas/0000-0002-9822-8753; Shen, Xueyi/0000-0002-0538-4774; McIntosh, Andrew/0000-0002-0198-4588; Sandu, Anca-Larisa/0000-0002-5555-4129",,,,,,,,,,,,2451-9022,2451-9030,,,,FEB,2019,4,2,,,,,190,199,,10.1016/j.bpsc.2018.09.015,,,,,,,WOS:000494386400011,30470583,,,,
0,Mice,J,"Morris-Schaffer, K; Merrill, A; Jew, K; Wong, C; Conrad, K; Harvey, K; Marvin, E; Sobolewski, M; Oberdorster, G; Elder, A; Cory-Slechta, DA",,,,"Morris-Schaffer, Keith; Merrill, Alyssa; Jew, Katrina; Wong, Candace; Conrad, Katherine; Harvey, Katherine; Marvin, Elena; Sobolewski, Marissa; Oberdorster, Gunter; Elder, Alison; Cory-Slechta, Deborah A.",,,Effects of neonatal inhalation exposure to ultrafine carbon particles on pathology and behavioral outcomes in C57BL/6J mice,PARTICLE AND FIBRE TOXICOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743-8977,,,,,Feb-18,2019,16,,,,,,,,10,10.1186/s12989-019-0293-5,,,,,,,WOS:000459220900001,30777081,,,,
0,Methods paper,J,"Da Silva, FL; Glatt, R; Costa, AHR",,,,"Da Silva, Felipe Leno; Glatt, Ruben; Reali Costa, Anna Helena",,,MOO-MDP: An Object-Oriented Representation for Cooperative Multiagent Reinforcement Learning,IEEE TRANSACTIONS ON CYBERNETICS,,,,,,,,,,,,,,,,"Glatt, Ruben/J-2349-2014",,,,,,,,,,,,,2168-2267,2168-2275,,,,FEB,2019,49,2,,,,,567,579,,10.1109/TCYB.2017.2781130,,,,,,,WOS:000456733900017,29990289,,,,
0,Structural equation modelling,J,"Shadmanfaat, SM; Howell, CJ; Muniz, CN; Cochran, JK; Kabiri, S; Fontaine, EM",,,,"Shadmanfaat, Seyyed Masoomeh (Shamila); Howell, C. Jordan; Muniz, Caitlyn N.; Cochran, John K.; Kabiri, Saeed; Fontaine, Eva M.",,,Cyberbullying perpetration: an empirical test of social learning theory in Iran,DEVIANT BEHAVIOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0163-9625,1521-0456,,,,,,,,,,,,,,UNSP 1565513,10.1080/01639625.2019.1565513,,Jan-19,,,,,WOS:000461919300001,,,,,
0,Neurons/circuits,J,"Morita, K; Kawaguchi, Y",,,,"Morita, Kenji; Kawaguchi, Yasuo",,,A Dual Role Hypothesis of the Cortico-Basal-Ganglia Pathways: Opponency and Temporal Difference Through Dopamine and Adenosine,FRONTIERS IN NEURAL CIRCUITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662-5110,,,,,Jan-07,2019,12,,,,,,,,111,10.3389/fncir.2018.00111,,,,,,,WOS:000455231700001,30687019,,,,
0,Speech analysis,S,"Stappen, L; Cummins, N; Messner, EM; Baumeister, H; Dineley, J; Schuller, B",,,IEEE,"Stappen, Lukas; Cummins, Nicholas; Messner, Eva-Maria; Baumeister, Harald; Dineley, Judith; Schuller, Bjoern",,,CONTEXT MODELLING USING HIERARCHICAL ATTENTION NETWORKS FOR SENTIMENT AND SELF-ASSESSED EMOTION DETECTION IN SPOKEN NARRATIVES,"2019 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH AND SIGNAL PROCESSING (ICASSP)",International Conference on Acoustics Speech and Signal Processing ICASSP,,,,"44th IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","MAY 12-17, 2019","Brighton, ENGLAND","Inst Elect & Elect Engineers, Inst Elect & Elect Engineers Signal Proc Soc",,,,,,,,"Cummins, Nicholas/AAC-6431-2019","Cummins, Nicholas/0000-0002-1178-917X",,,,,,,,,,,,1520-6149,,978-1-4799-8131-1,,,,2019,,,,,,,6680,6684,,,,,,,,,WOS:000482554006182,,,,,
